loss_0,loss_1,loss_2,total_loss
1.072347545623779297e+01,2.686576545238494873e-01,4.288620948791503906e-01,1.142099520564079285e+01
1.012599372863769531e+01,2.547559738159179688e-01,4.233638942241668701e-01,1.080411359667778015e+01
7.825325012207031250e+00,1.970298588275909424e-01,3.999683856964111328e-01,8.422323256731033325e+00
3.130050897598266602e+00,8.928325027227401733e-02,2.905476093292236328e-01,3.509881757199764252e+00
1.813641905784606934e+00,4.769632220268249512e-02,2.184896022081375122e-01,2.079827830195426941e+00
1.067142844200134277e+00,2.242696844041347504e-02,1.639547944068908691e-01,1.253524607047438622e+00
6.687914729118347168e-01,1.889062672853469849e-02,1.468364149332046509e-01,8.345185145735740662e-01
4.201916456222534180e-01,1.624432578682899475e-02,1.678647994995117188e-01,6.043007709085941315e-01
3.313111960887908936e-01,1.101171318441629410e-02,1.810852587223052979e-01,5.234081679955124855e-01
2.584036588668823242e-01,5.528328474611043930e-03,1.713943779468536377e-01,4.353263652883470058e-01
2.304539233446121216e-01,4.748691339045763016e-03,1.658583581447601318e-01,4.010609728284180164e-01
1.703331917524337769e-01,4.676111042499542236e-03,1.803680658340454102e-01,3.553773686289787292e-01
1.524136513471603394e-01,3.458828665316104889e-03,1.741403192281723022e-01,3.300127992406487465e-01
1.279127895832061768e-01,2.897055121138691902e-03,1.802514642477035522e-01,3.110613089520484209e-01
1.094474792480468750e-01,2.462173346430063248e-03,1.802357137203216553e-01,2.921453663147985935e-01
9.464631974697113037e-02,1.607139478437602520e-03,1.853945553302764893e-01,2.816480145556852221e-01
8.806045353412628174e-02,1.336276414804160595e-03,1.837548166513442993e-01,2.731515466002747416e-01
7.434095442295074463e-02,1.474585384130477905e-03,1.821609884500503540e-01,2.579765282571315765e-01
6.946159899234771729e-02,3.138185944408178329e-03,1.797030568122863770e-01,2.523028417490422726e-01
6.228683888912200928e-02,1.040619681589305401e-03,1.811792850494384766e-01,2.445067436201497912e-01
5.618492141366004944e-02,8.025653078220784664e-04,1.824625581502914429e-01,2.394500448717735708e-01
5.332677438855171204e-02,8.450064924545586109e-04,1.816506087779998779e-01,2.358223896590061486e-01
5.332671478390693665e-02,8.450064924545586109e-04,1.816506087779998779e-01,2.358223300543613732e-01
4.896948859095573425e-02,1.056043081916868687e-03,1.805065125226974487e-01,2.305320441955700517e-01
5.609958246350288391e-02,8.066486916504800320e-04,1.716756820678710938e-01,2.285819132230244577e-01
4.848378896713256836e-02,8.881083340384066105e-04,1.751703619956970215e-01,2.245422592968679965e-01
4.546894133090972900e-02,9.110007667914032936e-04,1.765927821397781372e-01,2.229727242374792695e-01
4.136867076158523560e-02,7.474914891645312309e-04,1.783822029829025269e-01,2.204983652336522937e-01
3.975466266274452209e-02,8.377682534046471119e-04,1.792122423648834229e-01,2.198046732810325921e-01
3.770578652620315552e-02,4.536150954663753510e-04,1.792823821306228638e-01,2.174417837522923946e-01
3.736741840839385986e-02,3.298881347291171551e-04,1.787798255681991577e-01,2.164771321113221347e-01
3.701531887054443359e-02,2.583660243544727564e-04,1.780881136655807495e-01,2.153617985604796559e-01
3.610752522945404053e-02,2.346895344089716673e-04,1.775350123643875122e-01,2.138772271282505244e-01
