loss_0,loss_1,loss_2,total_loss
2.192572021484375000e+01,6.654776334762573242e-01,5.066296458244323730e-01,2.309782749414443970e+01
2.097180366516113281e+01,6.297479867935180664e-01,5.026325583457946777e-01,2.210418421030044556e+01
1.724926376342773438e+01,4.817889928817749023e-01,4.852854609489440918e-01,1.821633821725845337e+01
8.436766624450683594e+00,1.301852315664291382e-01,4.039436578750610352e-01,8.970895513892173767e+00
5.487911224365234375e+00,4.321321472525596619e-02,3.359588682651519775e-01,5.867083307355642319e+00
3.489375114440917969e+00,1.427687611430883408e-02,2.523948252201080322e-01,3.756046815775334835e+00
2.152825355529785156e+00,8.646679110825061798e-03,1.834807842969894409e-01,2.344952818937599659e+00
1.287469983100891113e+00,8.767182938754558563e-03,1.530414670705795288e-01,1.449278633110225201e+00
8.598287701606750488e-01,9.648876264691352844e-03,1.312081217765808105e-01,1.000685768201947212e+00
7.195411324501037598e-01,1.079003978520631790e-02,1.621352285146713257e-01,8.924664007499814034e-01
5.281487107276916504e-01,3.594843903556466103e-03,1.473846435546875000e-01,6.791281981859356165e-01
4.037441909313201904e-01,2.138365525752305984e-03,1.471206843852996826e-01,5.530032408423721790e-01
3.183499872684478760e-01,2.523370319977402687e-03,1.527657806873321533e-01,4.736391382757574320e-01
2.625429928302764893e-01,5.526816472411155701e-03,1.517954617738723755e-01,4.198652710765600204e-01
2.106397747993469238e-01,2.695078495889902115e-03,1.541833430528640747e-01,3.675181963481009007e-01
1.876655369997024536e-01,1.832759706303477287e-03,1.534495800733566284e-01,3.429478767793625593e-01
1.526980996131896973e-01,1.310399384237825871e-03,1.543555706739425659e-01,3.083640696713700891e-01
1.459753215312957764e-01,1.807575114071369171e-03,1.478375792503356934e-01,2.956204758957028389e-01
1.202775612473487854e-01,6.309822783805429935e-04,1.481774300336837769e-01,2.690859735594131052e-01
1.122144684195518494e-01,5.328814149834215641e-04,1.477866917848587036e-01,2.605340416193939745e-01
1.043845117092132568e-01,4.211340565234422684e-04,1.456924825906753540e-01,2.504981283564120531e-01
9.492374211549758911e-02,3.388439945410937071e-04,1.364133805036544800e-01,2.316759666136931628e-01
9.492336958646774292e-02,3.388439945410937071e-04,1.364133805036544800e-01,2.316755940846633166e-01
9.433076530694961548e-02,1.880162046290934086e-03,1.274599283933639526e-01,2.236708557466045022e-01
8.585202693939208984e-02,8.244152413681149483e-04,1.296783983707427979e-01,2.163548405515030026e-01
9.105440974235534668e-02,7.289165514521300793e-04,1.107691377401351929e-01,2.025524640339426696e-01
8.312054723501205444e-02,3.450176154728978872e-04,1.073823645710945129e-01,1.908479294215794653e-01
8.261686563491821289e-02,3.317711525596678257e-04,1.016126498579978943e-01,1.845612866454757750e-01
7.570815086364746094e-02,4.712110676337033510e-04,1.015096604824066162e-01,1.776890224136877805e-01
7.077772915363311768e-02,5.564025486819446087e-04,9.910294413566589355e-02,1.704370758379809558e-01
6.667329370975494385e-02,5.215803976170718670e-04,9.618685394525527954e-02,1.633817280526272953e-01
5.809951946139335632e-02,8.459582459181547165e-04,9.621869027614593506e-02,1.551641679834574461e-01
5.865241587162017822e-02,3.209048882126808167e-04,9.029190242290496826e-02,1.492652231827378273e-01
5.427114665508270264e-02,9.704082185635343194e-05,8.992590010166168213e-02,1.442940875786007382e-01
5.210277438163757324e-02,7.487066613975912333e-05,8.750067651271820068e-02,1.396783215604955330e-01
5.196432769298553467e-02,1.376484433421865106e-04,8.318585902452468872e-02,1.352878351608524099e-01
5.545696988701820374e-02,1.400250912411138415e-04,7.451801747083663940e-02,1.301150124490959570e-01
