loss_0,loss_1,loss_2,total_loss
1.394639301300048828e+01,6.524523496627807617e-01,3.922184109687805176e-01,1.499106377363204956e+01
1.339428997039794922e+01,6.371988058090209961e-01,3.852303624153137207e-01,1.441671913862228394e+01
1.115803241729736328e+01,5.734264850616455078e-01,3.552978634834289551e-01,1.208675676584243774e+01
4.158931732177734375e+00,3.381069004535675049e-01,2.186483591794967651e-01,4.715686991810798645e+00
2.523066282272338867e+00,2.398144453763961792e-01,1.668778508901596069e-01,2.929758578538894653e+00
1.608508586883544922e+00,1.327006220817565918e-01,1.297788321971893311e-01,1.870988041162490845e+00
1.132639527320861816e+00,5.742600187659263611e-02,1.125389933586120605e-01,1.302604522556066513e+00
8.416299819946289062e-01,1.410167943686246872e-02,1.009023264050483704e-01,9.566339878365397453e-01
6.573148965835571289e-01,4.973637312650680542e-02,9.009376168251037598e-02,7.971450313925743103e-01
5.066091418266296387e-01,5.891603417694568634e-03,9.080591797828674316e-02,6.033066632226109505e-01
4.279096424579620361e-01,2.535753883421421051e-03,8.810207247734069824e-02,5.185474688187241554e-01
3.488805592060089111e-01,1.724966219626367092e-03,8.185076713562011719e-02,4.324562925612553954e-01
2.997973263263702393e-01,4.536823835223913193e-03,7.363183796405792236e-02,3.779659881256520748e-01
2.652986347675323486e-01,1.558965072035789490e-03,7.072822749614715576e-02,3.375858273357152939e-01
2.232516556978225708e-01,8.901353576220571995e-04,6.099168211221694946e-02,2.851334731676615775e-01
1.908549666404724121e-01,8.585524628870189190e-04,5.596705153584480286e-02,2.476805706392042339e-01
1.699126064777374268e-01,1.392545411363244057e-03,4.213204607367515564e-02,2.134371979627758265e-01
1.460179239511489868e-01,6.614510202780365944e-04,4.220299422740936279e-02,1.888823691988363862e-01
1.213764697313308716e-01,1.285210368223488331e-03,4.269783943891525269e-02,1.653595195384696126e-01
1.033780202269554138e-01,8.397549972869455814e-04,4.364416375756263733e-02,1.478619389818049967e-01
8.908843249082565308e-02,4.332568496465682983e-04,4.176982492208480835e-02,1.312915142625570297e-01
8.007454872131347656e-02,3.397512773517519236e-04,3.860592469573020935e-02,1.190202246943954378e-01
8.007457852363586426e-02,3.397512773517519236e-04,3.860592469573020935e-02,1.190202544967178255e-01
7.352677732706069946e-02,7.067386177368462086e-04,3.607793524861335754e-02,1.103114511934109032e-01
6.708719581365585327e-02,6.037440034560859203e-04,3.478321805596351624e-02,1.024741578730754554e-01
6.011042371392250061e-02,5.133483791723847389e-04,3.436908125877380371e-02,9.499285335186868906e-02
5.403419956564903259e-02,4.147448344156146049e-04,3.425965458154678345e-02,8.870859898161143064e-02
4.812169447541236877e-02,2.546969335526227951e-04,3.436372429132461548e-02,8.274011570028960705e-02
4.359592124819755554e-02,2.205818309448659420e-04,3.452452644705772400e-02,7.834102952620014548e-02
3.979680687189102173e-02,1.991808239836245775e-04,3.376173228025436401e-02,7.375771997612901032e-02
3.683900833129882812e-02,2.195182896684855223e-04,3.207765519618988037e-02,6.913618181715719402e-02
3.393594548106193542e-02,1.572968030814081430e-04,3.059908375144004822e-02,6.469232603558339179e-02
3.164455294609069824e-02,2.476520603522658348e-04,2.965986169874668121e-02,6.155206670518964529e-02
