loss_0,loss_1,loss_2,total_loss
1.259815841913223267e-01,1.937489956617355347e-02,1.890740692615509033e-01,3.344305530190467834e-01
6.503240019083023071e-02,1.041123177856206894e-02,2.007276862859725952e-01,2.761713182553648949e-01
5.372967105358839035e-03,3.529987588990479708e-04,2.319846153259277344e-01,2.377105811901856214e-01
8.320570923388004303e-03,1.624451135285198689e-03,2.222433090209960938e-01,2.321883310796692967e-01
7.266715168952941895e-03,1.384885283187031746e-03,2.231254875659942627e-01,2.317770880181342363e-01
5.255979485809803009e-03,8.754341979511082172e-04,2.244327664375305176e-01,2.305641801212914288e-01
3.096162807196378708e-03,3.458778082858771086e-04,2.248525619506835938e-01,2.282946025661658496e-01
1.304988749325275421e-03,1.491338771302253008e-04,2.226444184780120850e-01,2.240985411044675857e-01
2.338193124160170555e-03,5.054698558524250984e-04,2.166767716407775879e-01,2.195204346207901835e-01
5.473603960126638412e-03,5.346487741917371750e-04,2.103720903396606445e-01,2.163803430739790201e-01
8.745574392378330231e-03,3.009120409842580557e-04,2.058847099542617798e-01,2.149311963876243681e-01
9.987424127757549286e-03,1.533831818960607052e-04,2.040223628282546997e-01,2.141631701379083097e-01
1.092345919460058212e-02,4.537468339549377561e-05,2.018069773912429810e-01,2.127758112692390569e-01
1.038235146552324295e-02,4.456031820154748857e-05,2.011137604713439941e-01,2.115406722550687846e-01
9.080343879759311676e-03,2.975386814796365798e-05,2.020367532968521118e-01,2.111468510447593872e-01
8.382972329854965210e-03,2.880811734939925373e-05,2.026937305927276611e-01,2.111055110399320256e-01
8.215156383812427521e-03,3.009031570400111377e-05,2.028524130582809448e-01,2.110976597577973735e-01
7.939278148114681244e-03,3.360086338943801820e-05,2.030981928110122681e-01,2.110710718225163873e-01
7.430065423250198364e-03,4.516087210504338145e-05,2.035109102725982666e-01,2.109861365679535083e-01
6.818798836320638657e-03,7.055951573420315981e-05,2.039023637771606445e-01,2.107917221292154863e-01
6.320369429886341095e-03,1.140642780228517950e-04,2.039301991462707520e-01,2.103646328541799448e-01
6.320361047983169556e-03,1.140642780228517950e-04,2.039301991462707520e-01,2.103646244722767733e-01
6.725906860083341599e-03,1.347691431874409318e-04,2.028235644102096558e-01,2.096842404134804383e-01
8.664485067129135132e-03,7.335448026424273849e-05,2.002712637186050415e-01,2.090091032659984194e-01
1.040619146078824997e-02,3.416928302613086998e-05,1.983555555343627930e-01,2.087959162781771738e-01
1.073229871690273285e-02,2.952335307782050222e-05,1.980149298906326294e-01,2.087767519606131827e-01
1.071774400770664215e-02,2.915627192123793066e-05,1.980289071798324585e-01,2.087758074594603386e-01
1.070602424442768097e-02,2.896908335969783366e-05,1.980398595333099365e-01,2.087748528610973153e-01
1.065360289067029953e-02,2.813699211401399225e-05,1.980893015861511230e-01,2.087710414689354366e-01
1.047884672880172729e-02,1.837886156863532960e-05,1.982245147228240967e-01,2.087217403131944593e-01
9.933323599398136139e-03,3.324505769342067651e-06,1.986711323261260986e-01,2.086077804312935768e-01
1.008165441453456879e-02,6.217755071702413261e-06,1.984596848487854004e-01,2.085475570183916716e-01
1.028500590473413467e-02,1.323937249253503978e-05,1.982266753911972046e-01,2.085249206684238743e-01
1.044074818491935730e-02,1.178868751594563946e-05,1.980691105127334595e-01,2.085216473851687624e-01
1.048477459698915482e-02,1.091406920750159770e-05,1.980246305465698242e-01,2.085203192127664806e-01
1.051477435976266861e-02,1.001803866529371589e-05,1.979933828115463257e-01,2.085181752099742880e-01
1.058108918368816376e-02,8.074817742453888059e-06,1.979214847087860107e-01,2.085106487102166284e-01
1.067275740206241608e-02,5.826399501529522240e-06,1.978154331445693970e-01,2.084940169461333426e-01
1.082277763634920120e-02,3.035182544408598915e-06,1.976266652345657349e-01,2.084524780534593447e-01
1.103125326335430145e-02,7.029359494481468573e-07,1.973380446434020996e-01,2.083700008427058492e-01
1.136268489062786102e-02,5.528954147848708089e-07,1.968697309494018555e-01,2.082329687354445014e-01
1.254021003842353821e-02,1.214891381096094847e-05,1.954969763755798340e-01,2.080493353278143331e-01
1.150500867515802383e-02,3.940974056604318321e-05,1.963335126638412476e-01,2.078779310795653146e-01
1.150493416935205460e-02,3.940974056604318321e-05,1.963335126638412476e-01,2.078778565737593453e-01
1.167441252619028091e-02,6.940430466784164310e-05,1.960334777832031250e-01,2.077772946140612476e-01
1.040716655552387238e-02,3.916646528523415327e-05,1.972706466913223267e-01,2.077169797121314332e-01
1.106625795364379883e-02,5.374135798774659634e-05,1.965233832597732544e-01,2.076433825714047998e-01
1.120411325246095657e-02,5.768588380306027830e-05,1.963337808847427368e-01,2.075955800210067537e-01
1.049192436039447784e-02,3.997383828391321003e-05,1.970323175191879272e-01,2.075642157178663183e-01
1.125017181038856506e-02,8.626896305941045284e-05,1.961846202611923218e-01,2.075210610346402973e-01
1.084163039922714233e-02,6.786881567677482963e-05,1.965850740671157837e-01,2.074945732820197009e-01
1.083103567361831665e-02,7.532484596595168114e-05,1.965611428022384644e-01,2.074675033218227327e-01
1.117300521582365036e-02,1.109508375520817935e-04,1.961560547351837158e-01,2.074400107885594480e-01
1.067689247429370880e-02,9.219520143233239651e-05,1.966483592987060547e-01,2.074174469744320959e-01
1.074385549873113632e-02,1.048481572070159018e-04,1.965597867965698242e-01,2.074084904525079764e-01
1.073298975825309753e-02,1.111370074795559049e-04,1.965619027614593506e-01,2.074060295271920040e-01
1.066121272742748260e-02,1.102152673411183059e-04,1.966272592544555664e-01,2.073986872492241673e-01
1.037150807678699493e-02,1.141509419539943337e-04,1.968179941177368164e-01,2.073036531364778057e-01
