loss_0,loss_1,loss_2,total_loss
2.105161100625991821e-01,3.299271920695900917e-03,2.291875779628753662e-01,4.430029599461704493e-01
3.006605207920074463e-01,3.254183335229754448e-03,1.850897669792175293e-01,4.890044711064547300e-01
2.111344188451766968e-01,3.285147715359926224e-03,2.141563892364501953e-01,4.285759557969868183e-01
2.106145173311233521e-01,3.272240748628973961e-03,2.141671925783157349e-01,4.280539506580680609e-01
2.079876810312271118e-01,3.206748981028795242e-03,2.142228931188583374e-01,4.254173231311142445e-01
1.943344324827194214e-01,2.870463067665696144e-03,2.145300060510635376e-01,4.117349016014486551e-01
9.784944355487823486e-02,8.495238726027309895e-04,2.186888158321380615e-01,3.173877832596190274e-01
8.219985663890838623e-02,9.068184299394488335e-04,2.091067880392074585e-01,2.922134631080552936e-01
8.276098221540451050e-02,1.069600926712155342e-03,2.063650041818618774e-01,2.901955873239785433e-01
8.277982473373413086e-02,1.123152673244476318e-03,2.055806666612625122e-01,2.894836440682411194e-01
8.176374435424804688e-02,1.262103090994060040e-03,2.033446878194808960e-01,2.863705352647230029e-01
7.818413525819778442e-02,1.415289007127285004e-03,2.002542018890380859e-01,2.798536261543631554e-01
6.868527829647064209e-02,1.497719204053282738e-03,1.962359249591827393e-01,2.664189224597066641e-01
5.259501188993453979e-02,1.253746217116713524e-03,1.939632743597030640e-01,2.478120324667543173e-01
4.096604138612747192e-02,7.846712833270430565e-04,1.934856623411178589e-01,2.352363750105723739e-01
3.730028867721557617e-02,4.920276114717125893e-04,1.934922039508819580e-01,2.312845202395692468e-01
3.328983485698699951e-02,3.135049482807517052e-04,1.933531314134597778e-01,2.269564712187275290e-01
2.826581709086894989e-02,1.144327834481373429e-04,1.920071840286254883e-01,2.203874339029425755e-01
2.765838801860809326e-02,9.330410830443724990e-05,1.901933997869491577e-01,2.179450919138616882e-01
2.783398702740669250e-02,9.384697477798908949e-05,1.875242143869400024e-01,2.154520483891246840e-01
2.770710550248622894e-02,9.688763384474441409e-05,1.865078061819076538e-01,2.143117993182386272e-01
2.629036828875541687e-02,1.001945420284755528e-04,1.855630725622177124e-01,2.119536353930016048e-01
2.540365606546401978e-02,9.733615297591313720e-05,1.846592277288436890e-01,2.101602199472836219e-01
2.340482175350189209e-02,8.699743921170011163e-05,1.856347322463989258e-01,2.091265514391125180e-01
2.262402139604091644e-02,7.372658001258969307e-05,1.860083341598510742e-01,2.087060821359045804e-01
2.262355946004390717e-02,7.372658001258969307e-05,1.860083341598510742e-01,2.087056201999075711e-01
2.162185683846473694e-02,7.208270835690200329e-05,1.853276938199996948e-01,2.070216333668213338e-01
2.292631380259990692e-02,8.589302888140082359e-05,1.828055083751678467e-01,2.058177152066491544e-01
2.273214049637317657e-02,8.997466647997498512e-05,1.828524768352508545e-01,2.056745919981040061e-01
2.278661355376243591e-02,8.927234011935070157e-05,1.827304065227508545e-01,2.056062924166326411e-01
2.292938344180583954e-02,8.408011490246281028e-05,1.823973655700683594e-01,2.054108291267766617e-01
2.306907251477241516e-02,7.638498209416866302e-05,1.818808764219284058e-01,2.050263339187949896e-01
2.296971529722213745e-02,7.578075019409880042e-05,1.812787950038909912e-01,2.043242910513072275e-01
2.284595556557178497e-02,8.457325748167932034e-05,1.807022839784622192e-01,2.036328128015156835e-01
2.251796983182430267e-02,8.406641427427530289e-05,1.806322932243347168e-01,2.032343294704332948e-01
2.273142337799072266e-02,6.745617429260164499e-05,1.799773722887039185e-01,2.027762518409872428e-01
2.224772982299327850e-02,5.085725206299684942e-05,1.800405979156494141e-01,2.023391849907056894e-01
2.151926048099994659e-02,3.972225022152997553e-05,1.804128438234329224e-01,2.019718265546543989e-01
2.123432978987693787e-02,3.370046397321857512e-05,1.803252100944519043e-01,2.015932403483020607e-01
2.126193791627883911e-02,3.137471503578126431e-05,1.802037656307220459e-01,2.014970782620366663e-01
2.111380733549594879e-02,2.304076588188763708e-05,1.801250725984573364e-01,2.012619206998351729e-01
2.093758620321750641e-02,1.965092451428063214e-05,1.802087128162384033e-01,2.011659499439701904e-01
2.047837153077125549e-02,1.662536487856414169e-05,1.805540770292282104e-01,2.010490739248780301e-01
2.012722939252853394e-02,1.606602018000558019e-05,1.807978600263595581e-01,2.009411554390680976e-01
1.976095512509346008e-02,1.700759275991003960e-05,1.810165643692016602e-01,2.007945270870550303e-01
1.969322562217712402e-02,1.678892476775217801e-05,1.810246855020523071e-01,2.007347000489971833e-01
1.969222165644168854e-02,1.678892476775217801e-05,1.810246855020523071e-01,2.007336960832617478e-01
1.978855952620506287e-02,1.511877781013026834e-05,1.808549463748931885e-01,2.006586246789083816e-01
2.036651596426963806e-02,1.050420087267411873e-05,1.801266670227050781e-01,2.005036871878473903e-01
2.003901079297065735e-02,6.351008323690621182e-06,1.803425848484039307e-01,2.003879466496982786e-01
2.008791267871856689e-02,5.664768195856595412e-06,1.802663505077362061e-01,2.003599279546506295e-01
2.011680603027343750e-02,5.113166025694226846e-06,1.801985055208206177e-01,2.003204247171197494e-01
2.016410417854785919e-02,5.283611699269386008e-06,1.800970137119293213e-01,2.002664015021764499e-01
2.029313333332538605e-02,7.805087079759687185e-06,1.798860132694244385e-01,2.001869516898295842e-01
2.031006850302219391e-02,9.244391549145802855e-06,1.798312813043594360e-01,2.001505941989307757e-01
2.026697061955928802e-02,9.683583812147844583e-06,1.798381209373474121e-01,2.001147751407188480e-01
2.020192705094814301e-02,8.898583473637700081e-06,1.798776686191558838e-01,2.000884942535776645e-01
2.017144858837127686e-02,7.800240382493939251e-06,1.798508167266845703e-01,2.000300655554383411e-01
1.988626271486282349e-02,7.445512892445549369e-06,1.800568848848342896e-01,1.999505931125895586e-01
1.994343660771846771e-02,8.078548489720560610e-06,1.799467653036117554e-01,1.998982804598199436e-01
1.968450099229812622e-02,8.806301593722309917e-06,1.801564693450927734e-01,1.998497766389846220e-01
1.980562880635261536e-02,8.140209502016659826e-06,1.800212264060974121e-01,1.998349954219520441e-01
1.981310173869132996e-02,7.301119694602675736e-06,1.799990236759185791e-01,1.998194265343045117e-01
1.974106766283512115e-02,5.173369572730734944e-06,1.799866259098052979e-01,1.997328669422131497e-01
1.967644132673740387e-02,2.639943659232812934e-06,1.799295693635940552e-01,1.996086506339906919e-01
1.966374181210994720e-02,1.872051257123530377e-06,1.798997372388839722e-01,1.995653511022510429e-01
1.970573142170906067e-02,1.789888756320578977e-06,1.798398941755294800e-01,1.995474154859948612e-01
1.970757171511650085e-02,1.789888756320578977e-06,1.798398941755294800e-01,1.995492557794023014e-01
1.974519342184066772e-02,1.988983058254234493e-06,1.797839850187301636e-01,1.995311674236290855e-01
1.978045888245105743e-02,2.477133193679037504e-06,1.797173023223876953e-01,1.995002383380324318e-01
1.972705312073230743e-02,3.449083351370063610e-06,1.797363758087158203e-01,1.994668780127994978e-01
1.975418068468570709e-02,2.519493136787787080e-06,1.796514242887496948e-01,1.994081244665721897e-01
1.956424117088317871e-02,1.901596078823786229e-06,1.798016726970672607e-01,1.993678154640292632e-01
