loss_0,loss_1,loss_2,total_loss
6.713470220565795898e-01,1.846563187427818775e-03,3.405694067478179932e-01,1.013762991991825402e+00
3.238433003425598145e-01,1.887336373329162598e-03,4.241044819355010986e-01,7.498351186513900757e-01
3.685708343982696533e-01,2.020354848355054855e-03,7.027124762535095215e-01,1.073303665500134230e+00
9.965339303016662598e-02,1.939407899044454098e-03,5.249001979827880859e-01,6.264929989119991660e-01
1.002737656235694885e-01,1.945920055732131004e-03,5.237681269645690918e-01,6.259878126438707113e-01
1.068316251039505005e-01,2.006039256229996681e-03,5.136459469795227051e-01,6.224836113397032022e-01
1.092044264078140259e-01,2.324584173038601875e-03,4.954065382480621338e-01,6.069355488289147615e-01
1.061760261654853821e-01,4.885290283709764481e-03,4.349320530891418457e-01,5.459933695383369923e-01
9.773414582014083862e-02,9.087331593036651611e-03,3.960738778114318848e-01,5.028953552246093750e-01
8.875092864036560059e-02,1.141070947051048279e-02,3.832473754882812500e-01,4.834090135991573334e-01
8.026812970638275146e-02,1.135187130421400070e-02,3.873211741447448730e-01,4.789411751553416252e-01
7.192583382129669189e-02,1.043348293751478195e-02,3.941785097122192383e-01,4.765378264710307121e-01
5.957331508398056030e-02,8.455310948193073273e-03,4.040876328945159912e-01,4.721162589266896248e-01
4.889587685465812683e-02,5.827271379530429840e-03,4.095437824726104736e-01,4.642669307067990303e-01
3.979453444480895996e-02,2.080483827739953995e-03,4.023105204105377197e-01,4.441855386830866337e-01
4.525815695524215698e-02,2.930612768977880478e-03,3.666964471340179443e-01,4.148852168582379818e-01
6.253366917371749878e-02,9.963681921362876892e-03,3.005210459232330322e-01,3.730183970183134079e-01
9.936390072107315063e-02,2.481087483465671539e-02,1.878787428140640259e-01,3.120535183697938919e-01
1.396881341934204102e-01,3.335354104638099670e-02,1.091460585594177246e-01,2.821877337992191315e-01
1.521048396825790405e-01,2.956440113484859467e-02,9.420472383499145508e-02,2.758739646524190903e-01
1.617931276559829712e-01,2.089893631637096405e-02,8.408907800912857056e-02,2.667811419814825058e-01
1.626799404621124268e-01,1.042676437646150589e-02,7.210087031126022339e-02,2.452075751498341560e-01
1.408162266016006470e-01,1.679894281551241875e-03,4.518206790089607239e-02,1.876781887840479612e-01
1.408194452524185181e-01,1.679894281551241875e-03,4.518206790089607239e-02,1.876814074348658323e-01
9.412243962287902832e-02,7.543321233242750168e-03,4.455160349607467651e-02,1.462173643521964550e-01
1.126522272825241089e-01,2.491774270310997963e-03,2.625566162168979645e-02,1.413996631745249033e-01
8.688773214817047119e-02,4.079142119735479355e-03,3.282433003187179565e-02,1.237912042997777462e-01
6.894165277481079102e-02,1.270973705686628819e-03,3.894411027431488037e-02,1.091567367548123002e-01
6.726013123989105225e-02,1.349791884422302246e-03,3.482110425829887390e-02,1.034310273826122284e-01
