loss_0,loss_1,loss_2,total_loss
8.400131016969680786e-03,5.439039668999612331e-04,2.105942219495773315e-01,2.195382569334469736e-01
1.266007423400878906e-01,4.718301061075180769e-04,2.668229639530181885e-01,3.938955363992135972e-01
5.177665501832962036e-03,5.398038774728775024e-04,2.133240252733230591e-01,2.190414946526288986e-01
5.185458809137344360e-03,5.359071074053645134e-04,2.133059352636337280e-01,2.190273011801764369e-01
5.221351981163024902e-03,5.185223999433219433e-04,2.132244259119033813e-01,2.189643002930097282e-01
5.704102106392383575e-03,3.462326712906360626e-04,2.123319059610366821e-01,2.183822407387197018e-01
5.233646370470523834e-03,3.317012442494160496e-06,2.117327153682708740e-01,2.169696787511838920e-01
4.172340035438537598e-03,1.452854212402598932e-05,2.125328332185745239e-01,2.167197017961370875e-01
3.691277001053094864e-03,2.296737329743336886e-05,2.129759043455123901e-01,2.166901487198629184e-01
3.533902345225214958e-03,2.361084989388473332e-05,2.131201177835464478e-01,2.166776309786655474e-01
3.072133753448724747e-03,2.435637907183263451e-05,2.135225832462310791e-01,2.166190733787516365e-01
2.525223186239600182e-03,2.484870856278575957e-05,2.139467895030975342e-01,2.164968613978999201e-01
1.724531408399343491e-03,2.511298771423753351e-05,2.144155204296112061e-01,2.161651648257247871e-01
9.682574309408664703e-04,2.421227873128373176e-05,2.144474387168884277e-01,2.154399084265605779e-01
8.984241867437958717e-04,2.083361869154032320e-05,2.131722718477249146e-01,2.140915296531602507e-01
2.265963703393936157e-03,1.590586543898098171e-05,2.098397165536880493e-01,2.121215861225209665e-01
8.248796686530113220e-03,1.634834916330873966e-05,2.008373141288757324e-01,2.091024591645691544e-01
1.081239432096481323e-02,2.101683276123367250e-05,1.981888264417648315e-01,2.090222375954908784e-01
9.778771549463272095e-03,2.117864823958370835e-05,1.991947591304779053e-01,2.089947093281807611e-01
9.811253286898136139e-03,2.130705979652702808e-05,1.991619020700454712e-01,2.089944624167401344e-01
9.813562035560607910e-03,2.134286114596761763e-05,1.991595029830932617e-01,2.089944078797998372e-01
9.812216274440288544e-03,2.136378861905541271e-05,1.991607248783111572e-01,2.089943049413705012e-01
9.808038361370563507e-03,2.140867582056671381e-05,1.991644948720932007e-01,2.089939419092843309e-01
9.801584295928478241e-03,2.146809129044413567e-05,1.991700679063796997e-01,2.089931202935986221e-01
9.801589883863925934e-03,2.146809129044413567e-05,1.991700679063796997e-01,2.089931258815340698e-01
9.791110642254352570e-03,2.155291622329968959e-05,1.991782486438751221e-01,2.089909122023527743e-01
9.775454178452491760e-03,2.164430952689144760e-05,1.991881877183914185e-01,2.089852862063708017e-01
9.749789722263813019e-03,2.167217098758555949e-05,1.991993784904479980e-01,2.089708403836993966e-01
9.700179100036621094e-03,2.138901618309319019e-05,1.992144882678985596e-01,2.089360563841182739e-01
9.594980627298355103e-03,2.019139901676680893e-05,1.992489248514175415e-01,2.088640968777326634e-01
9.526764042675495148e-03,1.754387812979985029e-05,1.992274373769760132e-01,2.087717452977813082e-01
9.807392023503780365e-03,1.498799974797293544e-05,1.988875716924667358e-01,2.087099517157184891e-01
1.011028047651052475e-02,1.362714829156175256e-05,1.985384821891784668e-01,2.086623898139805533e-01
1.025452930480241776e-02,1.414325834048213437e-05,1.983738094568252563e-01,2.086424820199681562e-01
1.025257352739572525e-02,1.466874255129368976e-05,1.983747929334640503e-01,2.086420352034110692e-01
1.023011654615402222e-02,1.476028955949004740e-05,1.983970999717712402e-01,2.086419768074847525e-01
1.021987851709127426e-02,1.481931940361391753e-05,1.984071284532546997e-01,2.086418262897495879e-01
1.016949769109487534e-02,1.493585295975208282e-05,1.984566003084182739e-01,2.086410338524729013e-01
1.012270525097846985e-02,1.491444527346175164e-05,1.985019296407699585e-01,2.086395493370218901e-01
1.002746261656284332e-02,1.438509389117825776e-05,1.985929757356643677e-01,2.086348234461183893e-01
9.904477745294570923e-03,1.254979088116670027e-05,1.987066566944122314e-01,2.086236842305879691e-01
9.736465290188789368e-03,7.838661076675634831e-06,1.988518834114074707e-01,2.085961873626729357e-01
9.578251279890537262e-03,2.003242798309656791e-06,1.989599615335464478e-01,2.085402160562352947e-01
9.516920894384384155e-03,8.827484634821303189e-06,1.989363878965377808e-01,2.084621362755569862e-01
9.945476427674293518e-03,2.939513979072216898e-05,1.984301656484603882e-01,2.084050372159254039e-01
9.945448487997055054e-03,2.939513979072216898e-05,1.984301656484603882e-01,2.084050092762481654e-01
1.047057006508111954e-02,3.606497921282425523e-05,1.978804767131805420e-01,2.083871117574744858e-01
1.043861173093318939e-02,3.596261376515030861e-05,1.979102492332458496e-01,2.083848235779441893e-01
1.045208331197500229e-02,3.189968629158101976e-05,1.979003697633743286e-01,2.083843527616409119e-01
1.046367455273866653e-02,3.147790630464442074e-05,1.978825032711029053e-01,2.083776557301462162e-01
1.056701224297285080e-02,2.815495099639520049e-05,1.977228075265884399e-01,2.083179747205576859e-01
1.100756134837865829e-02,2.106444298988208175e-05,1.970145404338836670e-01,2.080431662252522074e-01
2.132158875465393066e-01,1.218329416587948799e-03,2.106349617242813110e-01,4.250691786874085665e-01
1.237314380705356598e-02,1.471306022722274065e-04,1.959913969039916992e-01,2.085116713133174926e-01
1.153780985623598099e-02,5.260161560727283359e-05,1.961584240198135376e-01,2.077488354916567914e-01
1.245607621967792511e-02,4.879269908997230232e-05,1.946782469749450684e-01,2.071831158937129658e-01
3.076424263417720795e-02,7.587648724438622594e-05,1.811435818672180176e-01,2.119837009886396118e-01
1.550459396094083786e-02,1.930125290527939796e-05,1.910985559225082397e-01,2.066224511363543570e-01
1.474300213158130646e-02,9.951970241672825068e-06,1.913354396820068359e-01,2.060883937838298152e-01
8.811770007014274597e-03,1.762052270350977778e-04,1.974887996912002563e-01,2.064767749252496287e-01
1.228328794240951538e-02,4.045372770633548498e-05,1.935501843690872192e-01,2.058739260392030701e-01
1.416815537959337234e-02,1.243197766598314047e-04,1.914953887462615967e-01,2.057878639025148004e-01
1.310543995350599289e-02,8.798185444902628660e-05,1.925132721662521362e-01,2.057066939742071554e-01
1.375634968280792236e-02,1.472371222916990519e-04,1.917429268360137939e-01,2.056465136411134154e-01
1.264178473502397537e-02,1.162350963568314910e-04,1.927853524684906006e-01,2.055433722998714074e-01
1.296064537018537521e-02,1.172225674963556230e-04,1.924607753753662109e-01,2.055386433130479418e-01
1.272360421717166901e-02,1.168420712929219007e-04,1.926767826080322266e-01,2.055172288964968175e-01
1.196919567883014679e-02,9.395150846103206277e-05,1.934178769588470459e-01,2.054810241461382248e-01
1.222389284521341324e-02,1.082040762412361801e-04,1.931382566690444946e-01,2.054703535904991440e-01
1.218059193342924118e-02,1.198492172989062965e-04,1.931658387184143066e-01,2.054662798691424541e-01
1.218068413436412811e-02,1.198492172989062965e-04,1.931658387184143066e-01,2.054663720700773410e-01
1.211856584995985031e-02,1.272107765544205904e-04,1.932189315557479858e-01,2.054647081822622567e-01
1.199505943804979324e-02,1.339541195193305612e-04,1.933344900608062744e-01,2.054635036183753982e-01
1.197933871299028397e-02,1.392758422298356891e-04,1.933441907167434692e-01,2.054628052719635889e-01
1.143160928040742874e-02,1.918380876304581761e-04,1.937448084354400635e-01,2.053682558034779504e-01
1.124672219157218933e-02,1.874199369922280312e-04,1.936840265989303589e-01,2.051181687274947762e-01
1.277433149516582489e-02,1.451594580430537462e-04,1.920652538537979126e-01,2.049847448070067912e-01
1.184317190200090408e-02,1.296367117902263999e-04,1.928695589303970337e-01,2.048423675441881642e-01
1.194983348250389099e-02,1.080657530110329390e-04,1.926615536212921143e-01,2.047194528568070382e-01
1.276946254074573517e-02,7.201261178124696016e-05,1.918516606092453003e-01,2.046931357617722824e-01
1.254027336835861206e-02,8.786094986135140061e-05,1.920298039913177490e-01,2.046579383095377125e-01
1.169920526444911957e-02,1.216371456393972039e-04,1.928721964359283447e-01,2.046930388460168615e-01
1.225907076150178909e-02,9.461300214752554893e-05,1.922960132360458374e-01,2.046496969996951520e-01
1.239311974495649338e-02,9.450126526644453406e-05,1.921589672565460205e-01,2.046465882667689584e-01
1.245079189538955688e-02,9.802942804526537657e-05,1.920962631702423096e-01,2.046450844936771318e-01
