loss_0,loss_1,loss_2,total_loss
2.383601171875000000e+04,5.071545600891113281e+00,4.843422770500183105e-01,2.384156760662794113e+04
2.238572070312500000e+04,5.022004604339599609e+00,4.832540750503540039e-01,2.239122596180438995e+04
1.315666308593750000e+04,4.605630874633789062e+00,4.747278094291687012e-01,1.316174344462156296e+04
8.209544921875000000e+03,4.069285392761230469e+00,4.702204465866088867e-01,8.214084427714347839e+03
6.003428710937500000e+03,3.757839441299438477e+00,4.718661904335021973e-01,6.007658416569232941e+03
4.018681884765625000e+03,3.422288656234741211e+00,4.517101049423217773e-01,4.022555883526802063e+03
2.893928955078125000e+03,3.220765113830566406e+00,4.182403683662414551e-01,2.897567960560321808e+03
2.457849609375000000e+03,3.270216941833496094e+00,3.388790786266326904e-01,2.461458705395460129e+03
1.560864624023437500e+03,3.506494760513305664e+00,3.322356343269348145e-01,1.564703354418277740e+03
1.356983154296875000e+03,3.669040679931640625e+00,3.230803608894348145e-01,1.360975275337696075e+03
1.070215576171875000e+03,4.084377288818359375e+00,2.996358871459960938e-01,1.074599589347839355e+03
7.933073730468750000e+02,4.525333404541015625e+00,2.793093621730804443e-01,7.981120158135890961e+02
5.377063598632812500e+02,4.703159332275390625e+00,2.544741928577423096e-01,5.426639933884143829e+02
4.509028015136718750e+02,4.739686012268066406e+00,2.250138521194458008e-01,4.558675013780593872e+02
3.363110351562500000e+02,4.570626735687255859e+00,2.286722362041473389e-01,3.411103341281414032e+02
3.059865417480468750e+02,4.413580417633056641e+00,2.288070470094680786e-01,3.106289292126893997e+02
2.701342773437500000e+02,4.241104602813720703e+00,2.240668982267379761e-01,2.745994488447904587e+02
2.201898345947265625e+02,4.022659301757812500e+00,2.120765745639801025e-01,2.244245704710483551e+02
1.770677795410156250e+02,3.762448310852050781e+00,1.960829496383666992e-01,1.810263108015060425e+02
1.611921539306640625e+02,3.564614057540893555e+00,1.828341037034988403e-01,1.649396020919084549e+02
1.373415374755859375e+02,3.637777090072631836e+00,1.828865408897399902e-01,1.411622011065483093e+02
1.261635360717773438e+02,3.639055490493774414e+00,1.820181608200073242e-01,1.299846097230911255e+02
1.261680221557617188e+02,3.639055490493774414e+00,1.820181608200073242e-01,1.299890958070755005e+02
1.117842559814453125e+02,3.580134868621826172e+00,1.794334352016448975e-01,1.155438242852687836e+02
9.194026184082031250e+01,3.448075294494628906e+00,1.749039441347122192e-01,9.556324107944965363e+01
8.524971771240234375e+01,3.220875263214111328e+00,1.675719916820526123e-01,8.863816496729850769e+01
7.428332519531250000e+01,3.217663049697875977e+00,1.673873662948608398e-01,7.766837561130523682e+01
7.085141754150390625e+01,3.199347496032714844e+00,1.665492653846740723e-01,7.421731430292129517e+01
6.628572845458984375e+01,3.165122032165527344e+00,1.644291877746582031e-01,6.961527967453002930e+01
5.902278900146484375e+01,3.114879369735717773e+00,1.615266501903533936e-01,6.229919502139091492e+01
5.182796859741210938e+01,2.965430259704589844e+00,1.525542438030242920e-01,5.494595310091972351e+01
4.687200164794921875e+01,2.937647819519042969e+00,1.546720564365386963e-01,4.996432152390480042e+01
4.484828948974609375e+01,2.913231611251831055e+00,1.556685864925384521e-01,4.791718968749046326e+01
4.245848083496093750e+01,2.852700710296630859e+00,1.560715287923812866e-01,4.546725307404994965e+01
3.788472366333007812e+01,2.698645591735839844e+00,1.554067879915237427e-01,4.073877604305744171e+01
3.400561904907226562e+01,2.422871112823486328e+00,1.534627377986907959e-01,3.658195289969444275e+01
2.930103683471679688e+01,2.300847530364990234e+00,1.522581875324249268e-01,3.175414255261421204e+01
2.713010215759277344e+01,2.259447336196899414e+00,1.507830619812011719e-01,2.954033255577087402e+01
2.501210212707519531e+01,2.207498788833618164e+00,1.494775116443634033e-01,2.736907842755317688e+01
2.234657859802246094e+01,2.120132684707641602e+00,1.469548344612121582e-01,2.461366611719131470e+01
1.922529602050781250e+01,1.998723745346069336e+00,1.443474739789962769e-01,2.136836723983287811e+01
1.721427345275878906e+01,1.929979205131530762e+00,1.416484713554382324e-01,1.928590112924575806e+01
1.574490356445312500e+01,1.820158720016479492e+00,1.405825167894363403e-01,1.770564480125904083e+01
1.574606132507324219e+01,1.820158720016479492e+00,1.405825167894363403e-01,1.770680256187915802e+01
1.507755661010742188e+01,1.805368065834045410e+00,1.401827931404113770e-01,1.702310746908187866e+01
1.410170364379882812e+01,1.747543096542358398e+00,1.396094411611557007e-01,1.598885618150234222e+01
1.288786602020263672e+01,1.624483346939086914e+00,1.384515762329101562e-01,1.465080094337463379e+01
1.146705150604248047e+01,1.430802464485168457e+00,1.363377124071121216e-01,1.303419168293476105e+01
1.216205310821533203e+01,1.206477642059326172e+00,1.321969330310821533e-01,1.350072768330574036e+01
1.084974670410156250e+01,1.325034141540527344e+00,1.344850659370422363e-01,1.230926591157913208e+01
