loss_0,loss_1,loss_2,total_loss
6.461487109375000000e+04,1.023457241058349609e+01,7.548493146896362305e-01,6.462586051547527313e+04
6.352214843750000000e+04,1.023967838287353516e+01,7.514405250549316406e-01,6.353313955640792847e+04
5.887273437500000000e+04,1.026788902282714844e+01,7.363594174385070801e-01,5.888373862344026566e+04
1.809482226562500000e+04,1.020003604888916016e+01,5.443972349166870117e-01,1.810556669890880585e+04
1.045941308593750000e+04,1.044093799591064453e+01,5.318918228149414062e-01,1.047038591575622559e+04
7.440986328125000000e+03,1.020098781585693359e+01,4.901681542396545410e-01,7.451677484095096588e+03
5.892492187500000000e+03,9.674211502075195312e+00,4.949333667755126953e-01,5.902661332368850708e+03
5.088063476562500000e+03,9.441249847412109375e+00,4.791784286499023438e-01,5.097983904838562012e+03
4.113846679687500000e+03,8.958759307861328125e+00,4.436850845813751221e-01,4.123249124079942703e+03
3.269887939453125000e+03,8.606925964355468750e+00,4.079248607158660889e-01,3.278902790278196335e+03
2.197302490234375000e+03,8.113615989685058594e+00,3.749573528766632080e-01,2.205791063576936722e+03
2.410584960937500000e+03,8.615447044372558594e+00,3.328012824058532715e-01,2.419533209264278412e+03
1.790835937500000000e+03,8.262235641479492188e+00,3.531550765037536621e-01,1.799451328217983246e+03
1.422327392578125000e+03,8.232281684875488281e+00,3.472897410392761230e-01,1.430906964004039764e+03
1.217588500976562500e+03,8.129137039184570312e+00,3.414891660213470459e-01,1.226059127181768417e+03
9.806898803710937500e+02,7.937372684478759766e+00,3.289359807968139648e-01,9.889561890363693237e+02
7.930404663085937500e+02,7.537447452545166016e+00,3.046094179153442383e-01,8.008825231790542603e+02
6.692424926757812500e+02,7.354165077209472656e+00,2.876273095607757568e-01,6.768842850625514984e+02
5.936787109375000000e+02,7.206890583038330078e+00,2.750405371189117432e-01,6.011606420576572418e+02
4.870964050292968750e+02,7.028849601745605469e+00,2.528687715530395508e-01,4.943781234025955200e+02
4.227299804687500000e+02,7.066230773925781250e+00,2.308860570192337036e-01,4.300270972996950150e+02
3.723970642089843750e+02,7.124415874481201172e+00,2.244865000247955322e-01,3.797459665834903717e+02
3.289664916992187500e+02,7.264888286590576172e+00,2.172586619853973389e-01,3.364486386477947235e+02
3.289489746093750000e+02,7.264888286590576172e+00,2.172586619853973389e-01,3.364311215579509735e+02
2.987693786621093750e+02,7.376136302947998047e+00,2.108852118253707886e-01,3.063564001768827438e+02
2.401454162597656250e+02,7.545345783233642578e+00,1.971512883901596069e-01,2.478879133313894272e+02
3.056350708007812500e+02,7.587036132812500000e+00,1.760179847478866577e-01,3.133981249183416367e+02
2.248147125244140625e+02,7.555455684661865234e+00,1.904649883508682251e-01,2.325606331974267960e+02
1.987720031738281250e+02,7.549797534942626953e+00,1.850584894418716431e-01,2.065068591982126236e+02
1.788234710693359375e+02,7.428137779235839844e+00,1.818755269050598145e-01,1.864334843754768372e+02
1.581011047363281250e+02,7.150038719177246094e+00,1.779390424489974976e-01,1.654290824979543686e+02
1.468526306152343750e+02,6.809233188629150391e+00,1.750790774822235107e-01,1.538369428813457489e+02
1.369735717773437500e+02,6.759053230285644531e+00,1.751812100410461426e-01,1.439078062176704407e+02
1.283099212646484375e+02,6.596023559570312500e+00,1.750190556049346924e-01,1.350809638798236847e+02
1.203543014526367188e+02,6.346288681030273438e+00,1.739348024129867554e-01,1.268745249360799789e+02
1.123037948608398438e+02,5.619285583496093750e+00,1.745786368846893311e-01,1.180976590812206268e+02
9.986536407470703125e+01,5.360760688781738281e+00,1.719541400671005249e-01,1.053980789035558701e+02
9.557134246826171875e+01,5.235040187835693359e+00,1.714348495006561279e-01,1.009778175055980682e+02
9.105570220947265625e+01,5.006925582885742188e+00,1.713692843914031982e-01,9.623399707674980164e+01
8.443948364257812500e+01,4.643685340881347656e+00,1.708971858024597168e-01,8.925406616926193237e+01
8.965354919433593750e+01,3.806234359741210938e+00,1.695282608270645142e-01,9.362931181490421295e+01
8.045815277099609375e+01,4.284225940704345703e+00,1.702827215194702148e-01,8.491266143321990967e+01
7.320172119140625000e+01,3.876747608184814453e+00,1.690202504396438599e-01,7.724748905003070831e+01
6.897135925292968750e+01,3.681106805801391602e+00,1.674202382564544678e-01,7.281988629698753357e+01
6.376749038696289062e+01,3.421769142150878906e+00,1.642390638589859009e-01,6.735349859297275543e+01
6.193432998657226562e+01,3.149941921234130859e+00,1.596532911062240601e-01,6.524392519891262054e+01
6.193679428100585938e+01,3.149941921234130859e+00,1.596532911062240601e-01,6.524638949334621429e+01
5.785972976684570312e+01,3.164855241775512695e+00,1.596115529537200928e-01,6.118419656157493591e+01
5.525118255615234375e+01,3.118550062179565430e+00,1.586321294307708740e-01,5.852836474776268005e+01
5.272601699829101562e+01,2.980374574661254883e+00,1.567206680774688721e-01,5.586311224102973938e+01
4.845497131347656250e+01,2.677594661712646484e+00,1.528279185295104980e-01,5.128539389371871948e+01
5.509170532226562500e+01,2.158576250076293945e+00,1.493914425373077393e-01,5.739967301487922668e+01
4.669306945800781250e+01,2.497778177261352539e+00,1.516180783510208130e-01,4.934246571362018585e+01
4.314947509765625000e+01,2.184590101242065430e+00,1.474892050027847290e-01,4.548155440390110016e+01
4.098554992675781250e+01,1.988249301910400391e+00,1.455200016498565674e-01,4.311931923031806946e+01
3.891178894042968750e+01,1.765885949134826660e+00,1.431275308132171631e-01,4.082080242037773132e+01
3.705179595947265625e+01,1.682187676429748535e+00,1.430864632129669189e-01,3.887707009911537170e+01
3.516681289672851562e+01,1.603437423706054688e+00,1.433185338973999023e-01,3.691356885433197021e+01
3.341410064697265625e+01,1.473903059959411621e+00,1.429980397224426270e-01,3.503100174665451050e+01
3.209456634521484375e+01,1.240228533744812012e+00,1.421014517545700073e-01,3.347689633071422577e+01
3.040202522277832031e+01,1.162798285484313965e+00,1.414273679256439209e-01,3.170625087618827820e+01
2.904265785217285156e+01,1.065550804138183594e+00,1.405504345893859863e-01,3.024875909090042114e+01
2.780474281311035156e+01,9.592292904853820801e-01,1.398778259754180908e-01,2.890384992957115173e+01
2.657050323486328125e+01,7.916486263275146484e-01,1.395156383514404297e-01,2.750166749954223633e+01
2.511545753479003906e+01,7.150840163230895996e-01,1.390664279460906982e-01,2.596960797905921936e+01
2.443810081481933594e+01,7.031545042991638184e-01,1.391823589801788330e-01,2.528043767809867859e+01
2.342234802246093750e+01,6.678072214126586914e-01,1.392735540866851807e-01,2.422942879796028137e+01
2.281430625915527344e+01,6.000575423240661621e-01,1.390263736248016357e-01,2.355339017510414124e+01
2.282015419006347656e+01,6.000575423240661621e-01,1.390263736248016357e-01,2.355923810601234436e+01
2.177087402343750000e+01,5.772236585617065430e-01,1.388154327869415283e-01,2.248691311478614807e+01
2.095836830139160156e+01,5.414115190505981445e-01,1.383711695671081543e-01,2.163815099000930786e+01
2.042810058593750000e+01,5.152209997177124023e-01,1.380342245101928711e-01,2.108135581016540527e+01
1.932823562622070312e+01,4.772647917270660400e-01,1.375135332345962524e-01,1.994301395118236542e+01
2.026653861999511719e+01,4.343210756778717041e-01,1.362787783145904541e-01,2.083713847398757935e+01
1.885164070129394531e+01,4.580535590648651123e-01,1.370339691638946533e-01,1.944672822952270508e+01
1.794555091857910156e+01,4.385881423950195312e-01,1.366443037986755371e-01,1.852078336477279663e+01
1.734047508239746094e+01,4.301317334175109863e-01,1.364123821258544922e-01,1.790701919794082642e+01
1.665723037719726562e+01,4.206934571266174316e-01,1.359446644783020020e-01,1.721386849880218506e+01
1.620329093933105469e+01,4.131438732147216797e-01,1.355723738670349121e-01,1.675200718641281128e+01
1.575535106658935547e+01,4.130437076091766357e-01,1.354659944772720337e-01,1.630386076867580414e+01
1.521577835083007812e+01,4.119623899459838867e-01,1.351549923419952393e-01,1.576289573311805725e+01
1.481512165069580078e+01,4.109207391738891602e-01,1.349462568759918213e-01,1.536098864674568176e+01
1.447169971466064453e+01,4.109280109405517578e-01,1.341619193553924561e-01,1.501678964495658875e+01
1.371696376800537109e+01,4.125996232032775879e-01,1.342317461967468262e-01,1.426379513740539551e+01
1.345114612579345703e+01,4.103772640228271484e-01,1.342310458421707153e-01,1.399575443565845490e+01
1.300037002563476562e+01,4.060732126235961914e-01,1.340507119894027710e-01,1.354049395024776459e+01
1.243432617187500000e+01,4.008262753486633301e-01,1.336946487426757812e-01,1.296884709596633911e+01
1.189878273010253906e+01,3.992630243301391602e-01,1.331175267696380615e-01,1.243116328120231628e+01
1.154764175415039062e+01,3.976220488548278809e-01,1.330064535140991211e-01,1.207827025651931763e+01
1.122554016113281250e+01,3.951555490493774414e-01,1.329292058944702148e-01,1.175362491607666016e+01
1.122642517089843750e+01,3.951555490493774414e-01,1.329292058944702148e-01,1.175450992584228516e+01
1.092154693603515625e+01,3.924149572849273682e-01,1.328215301036834717e-01,1.144678342342376709e+01
1.038777923583984375e+01,3.877077102661132812e-01,1.326395869255065918e-01,1.090812653303146362e+01
1.007993888854980469e+01,3.894940018653869629e-01,1.324253827333450317e-01,1.060185827314853668e+01
9.790112495422363281e+00,3.921694755554199219e-01,1.323511600494384766e-01,1.031463313102722168e+01
9.484090805053710938e+00,3.962410092353820801e-01,1.322470307350158691e-01,1.001257884502410889e+01
9.165381431579589844e+00,3.994374275207519531e-01,1.319870352745056152e-01,9.696805894374847412e+00
9.045915603637695312e+00,4.013817608356475830e-01,1.317856907844543457e-01,9.579083055257797241e+00
8.625448226928710938e+00,3.999735713005065918e-01,1.315444409847259521e-01,9.156966239213943481e+00
8.501670837402343750e+00,3.956782817840576172e-01,1.314565092325210571e-01,9.028805628418922424e+00
8.290251731872558594e+00,3.867987394332885742e-01,1.312670558691024780e-01,8.808317527174949646e+00
8.006978034973144531e+00,3.771868050098419189e-01,1.309040337800979614e-01,8.515068873763084412e+00
7.873906135559082031e+00,3.610918521881103516e-01,1.306438297033309937e-01,8.365641817450523376e+00
7.594940185546875000e+00,3.649246692657470703e-01,1.305442750453948975e-01,8.090409129858016968e+00
7.487301826477050781e+00,3.655252456665039062e-01,1.305567473173141479e-01,7.983383819460868835e+00
7.334603786468505859e+00,3.607533872127532959e-01,1.306056678295135498e-01,7.825962841510772705e+00
7.118638515472412109e+00,3.459331691265106201e-01,1.305974721908569336e-01,7.595169156789779663e+00
6.893228530883789062e+00,3.277955651283264160e-01,1.307611167430877686e-01,7.351785212755203247e+00
6.743625640869140625e+00,3.202688694000244141e-01,1.307120025157928467e-01,7.194606512784957886e+00
6.559044361114501953e+00,3.073514103889465332e-01,1.306662261486053467e-01,6.997061997652053833e+00
6.435947418212890625e+00,2.991257309913635254e-01,1.304645240306854248e-01,6.865537673234939575e+00
6.435690879821777344e+00,2.991257309913635254e-01,1.304645240306854248e-01,6.865281134843826294e+00
6.288739204406738281e+00,2.956340610980987549e-01,1.303996741771697998e-01,6.714772939682006836e+00
6.039517879486083984e+00,2.872146368026733398e-01,1.303383857011795044e-01,6.457070901989936829e+00
5.941425800323486328e+00,2.826100885868072510e-01,1.301855593919754028e-01,6.354221448302268982e+00
5.824611663818359375e+00,2.781799435615539551e-01,1.301889419555664062e-01,6.232980549335479736e+00
5.602872848510742188e+00,2.621720731258392334e-01,1.301913261413574219e-01,5.995236247777938843e+00
5.493531227111816406e+00,2.559331059455871582e-01,1.302383244037628174e-01,5.879702657461166382e+00
5.426770687103271484e+00,2.568429112434387207e-01,1.302509158849716187e-01,5.813864514231681824e+00
5.374246120452880859e+00,2.566724419593811035e-01,1.302331089973449707e-01,5.761151671409606934e+00
5.308916568756103516e+00,2.546525299549102783e-01,1.301800757646560669e-01,5.693749174475669861e+00
5.255942821502685547e+00,2.518809437751770020e-01,1.300882399082183838e-01,5.637912005186080933e+00
5.140301704406738281e+00,2.479095458984375000e-01,1.298810690641403198e-01,5.518092319369316101e+00
5.838163852691650391e+00,2.378953695297241211e-01,1.291704475879669189e-01,6.205229669809341431e+00
5.095407009124755859e+00,2.452447712421417236e-01,1.297321319580078125e-01,5.470383912324905396e+00
4.983721733093261719e+00,2.412105798721313477e-01,1.294360756874084473e-01,5.354368388652801514e+00
4.940926551818847656e+00,2.405177950859069824e-01,1.292877346277236938e-01,5.310732081532478333e+00
4.862636089324951172e+00,2.393534779548645020e-01,1.289857625961303711e-01,5.230975329875946045e+00
4.779753208160400391e+00,2.372436821460723877e-01,1.284244954586029053e-01,5.145421385765075684e+00
4.690845012664794922e+00,2.348293066024780273e-01,1.279338002204895020e-01,5.053608119487762451e+00
4.633157253265380859e+00,2.333986461162567139e-01,1.275219023227691650e-01,4.994077801704406738e+00
4.592801094055175781e+00,2.325817644596099854e-01,1.275282204151153564e-01,4.952911078929901123e+00
4.554634571075439453e+00,2.317683100700378418e-01,1.274439692497253418e-01,4.913846850395202637e+00
4.554649829864501953e+00,2.317683100700378418e-01,1.274439692497253418e-01,4.913862109184265137e+00
4.484238624572753906e+00,2.297706007957458496e-01,1.271537691354751587e-01,4.841162994503974915e+00
4.406966209411621094e+00,2.276536524295806885e-01,1.266464591026306152e-01,4.761266320943832397e+00
4.330165863037109375e+00,2.266820371150970459e-01,1.263157874345779419e-01,4.683163687586784363e+00
4.242821693420410156e+00,2.260226756334304810e-01,1.259945631027221680e-01,4.594838932156562805e+00
4.169027805328369141e+00,2.255556285381317139e-01,1.257731318473815918e-01,4.520356565713882446e+00
4.113900184631347656e+00,2.249782681465148926e-01,1.256103664636611938e-01,4.464488819241523743e+00
4.001573085784912109e+00,2.245928049087524414e-01,1.254631280899047852e-01,4.351629018783569336e+00
3.955728054046630859e+00,2.241352200508117676e-01,1.255304217338562012e-01,4.305393695831298828e+00
3.899456262588500977e+00,2.235326915979385376e-01,1.255677938461303711e-01,4.248556748032569885e+00
3.843803405761718750e+00,2.230107784271240234e-01,1.255287975072860718e-01,4.192342981696128845e+00
3.775187492370605469e+00,2.225025296211242676e-01,1.253441572189331055e-01,4.123034179210662842e+00
3.719047069549560547e+00,2.222230732440948486e-01,1.251831799745559692e-01,4.066453322768211365e+00
