loss_0,loss_1,loss_2,total_loss
1.071196953125000000e+05,1.617894744873046875e+01,1.422256231307983398e+00,1.071372965161800385e+05
1.044880000000000000e+05,1.608621597290039062e+01,1.416241645812988281e+00,1.045055024576187134e+05
8.375535937500000000e+04,1.526753520965576172e+01,1.363394141197204590e+00,8.377199030435085297e+04
3.876207812500000000e+04,1.186388778686523438e+01,1.131269931793212891e+00,3.877507328271865845e+04
2.686280273437500000e+04,1.058530807495117188e+01,1.025235056877136230e+00,2.687441327750682831e+04
1.049938964843750000e+04,8.926690101623535156e+00,8.054165244102478027e-01,1.050912175506353378e+04
7.164166503906250000e+03,8.409036636352539062e+00,6.962598562240600586e-01,7.173271800398826599e+03
4.614544921875000000e+03,7.737965106964111328e+00,5.757350921630859375e-01,4.622858622074127197e+03
4.856684570312500000e+03,7.658926963806152344e+00,5.201579332351684570e-01,4.864863655209541321e+03
3.964621826171875000e+03,7.669857025146484375e+00,5.466975569725036621e-01,3.972838380753993988e+03
3.062122558593750000e+03,7.442551612854003906e+00,4.854613244533538818e-01,3.070050571531057358e+03
2.526989746093750000e+03,7.309467315673828125e+00,4.561916589736938477e-01,2.534755405068397522e+03
1.921831787109375000e+03,7.109557628631591797e+00,4.258931875228881836e-01,1.929367237925529480e+03
1.416856689453125000e+03,6.768799304962158203e+00,3.941200971603393555e-01,1.424019608855247498e+03
8.975914916992187500e+02,6.295509338378906250e+00,3.542581200599670410e-01,9.042412591576576233e+02
9.252648315429687500e+02,6.111093521118164062e+00,3.397890925407409668e-01,9.317157141566276550e+02
7.447079467773437500e+02,6.174465656280517578e+00,3.450782597064971924e-01,7.512274906933307648e+02
6.154069824218750000e+02,5.988507270812988281e+00,3.374355435371398926e-01,6.217329252362251282e+02
5.426063232421875000e+02,5.893243312835693359e+00,3.330123424530029297e-01,5.488325788974761963e+02
4.556141967773437500e+02,5.671107292175292969e+00,3.366833925247192383e-01,4.616219874620437622e+02
3.866623535156250000e+02,5.551754474639892578e+00,3.281628191471099854e-01,3.925422708094120026e+02
3.315227355957031250e+02,5.460992813110351562e+00,3.331193923950195312e-01,3.373168478012084961e+02
2.999743957519531250e+02,5.411976814270019531e+00,3.348193168640136719e-01,3.057211918830871582e+02
2.669721679687500000e+02,5.344876289367675781e+00,3.323549628257751465e-01,2.726493992209434509e+02
2.669893798828125000e+02,5.344876289367675781e+00,3.323549628257751465e-01,2.726666111350059509e+02
2.305864562988281250e+02,5.239988803863525391e+00,3.355031609535217285e-01,2.361619482636451721e+02
2.062818756103515625e+02,5.191396713256835938e+00,3.304753601551055908e-01,2.118037476837635040e+02
1.911134643554687500e+02,5.175232410430908203e+00,3.301172256469726562e-01,1.966188139915466309e+02
1.732891540527343750e+02,5.154812812805175781e+00,3.302224278450012207e-01,1.787741892933845520e+02
1.555893554687500000e+02,5.106827259063720703e+00,3.328222632408142090e-01,1.610290049910545349e+02
1.386470642089843750e+02,5.068892478942871094e+00,3.302079439163208008e-01,1.440461646318435669e+02
1.295232849121093750e+02,5.025121212005615234e+00,3.275808691978454590e-01,1.348759869933128357e+02
1.213656463623046875e+02,4.952503204345703125e+00,3.239666223526000977e-01,1.266421161890029907e+02
1.071515731811523438e+02,4.773628234863281250e+00,3.175219297409057617e-01,1.122427233457565308e+02
1.086497879028320312e+02,4.285972595214843750e+00,2.984893321990966797e-01,1.132342498302459717e+02
1.001416015625000000e+02,4.532623291015625000e+00,3.082088828086853027e-01,1.049824337363243103e+02
8.881664276123046875e+01,4.342586517333984375e+00,3.034408688545227051e-01,9.346267014741897583e+01
8.277050018310546875e+01,4.221802234649658203e+00,3.020647168159484863e-01,8.729436713457107544e+01
7.659034729003906250e+01,4.026490211486816406e+00,2.979609966278076172e-01,8.091479849815368652e+01
7.145358276367187500e+01,3.879676580429077148e+00,2.967395186424255371e-01,7.562999886274337769e+01
6.718858337402343750e+01,3.787634372711181641e+00,2.949454188346862793e-01,7.127116316556930542e+01
6.262657165527343750e+01,3.605382919311523438e+00,2.911610007286071777e-01,6.652311557531356812e+01
5.948111724853515625e+01,3.455501794815063477e+00,2.882543802261352539e-01,6.322487342357635498e+01
5.586188888549804688e+01,3.304129838943481445e+00,2.861925065517425537e-01,5.945221123099327087e+01
5.143757247924804688e+01,2.944171667098999023e+00,2.823582589626312256e-01,5.466410240530967712e+01
4.844547653198242188e+01,2.825125217437744141e+00,2.814184427261352539e-01,5.155202019214630127e+01
4.844763565063476562e+01,2.825125217437744141e+00,2.814184427261352539e-01,5.155417931079864502e+01
4.679735183715820312e+01,2.807287693023681641e+00,2.819384634494781494e-01,4.988657799363136292e+01
4.346503067016601562e+01,2.659035205841064453e+00,2.809990644454956055e-01,4.640506494045257568e+01
4.169519424438476562e+01,2.513577461242675781e+00,2.801629602909088135e-01,4.448893466591835022e+01
3.955995941162109375e+01,2.363380193710327148e+00,2.772428393363952637e-01,4.220058244466781616e+01
3.690581512451171875e+01,2.178459644317626953e+00,2.726972997188568115e-01,3.935697206854820251e+01
3.502969741821289062e+01,2.071856975555419922e+00,2.687747180461883545e-01,3.737032911181449890e+01
3.314272308349609375e+01,2.028273105621337891e+00,2.663326561450958252e-01,3.543732884526252747e+01
