loss_0,loss_1,loss_2,total_loss
1.019657156575703993e-05,6.430248618125915527e-01,1.111573074012994766e-03,6.441466314581703045e-01
1.586724647495429963e-05,6.248696446418762207e-01,2.099193632602691650e-03,6.269847055209538667e-01
1.846771046984940767e-04,4.752470552921295166e-01,3.657757490873336792e-02,5.120093073055613786e-01
5.599458236247301102e-04,3.127895295619964600e-01,1.118759661912918091e-01,4.252254415769129992e-01
4.591989854816347361e-04,2.979700565338134766e-01,1.062223985791206360e-01,4.046516540984157473e-01
2.251820842502638698e-04,2.998458147048950195e-01,9.675715863704681396e-02,3.968281554261920974e-01
7.708960765739902854e-05,2.961141169071197510e-01,9.731905162334442139e-02,3.935102581381215714e-01
6.115625728853046894e-05,2.951006293296813965e-01,9.814538806676864624e-02,3.933071736537385732e-01
6.072105315979570150e-05,2.952626049518585205e-01,9.797960519790649414e-02,3.933029312029248103e-01
5.931036139372736216e-05,2.959951460361480713e-01,9.721880406141281128e-02,3.932732604589546099e-01
5.897918163100257516e-05,2.968144714832305908e-01,9.634298086166381836e-02,3.932164315265254118e-01
6.229581049410626292e-05,2.982651889324188232e-01,9.471427649259567261e-02,3.930417612355086021e-01
8.244441414717584848e-05,3.001211881637573242e-01,9.234739840030670166e-02,3.925510309782112017e-01
3.164092195220291615e-04,2.963954806327819824e-01,9.312014281749725342e-02,3.898320326698012650e-01
4.641491174697875977e-02,2.333509027957916260e-01,2.000655829906463623e-01,4.798313975334167480e-01
2.439177362248301506e-03,2.652170360088348389e-01,1.203046143054962158e-01,3.879608276765793562e-01
1.356534659862518311e-03,2.758401036262512207e-01,1.100285947322845459e-01,3.872252330183982849e-01
4.619539678096771240e-01,3.868638277053833008e-01,2.768097519874572754e-01,1.125627547502517700e+00
1.794889196753501892e-02,2.289530336856842041e-01,1.570491641759872437e-01,4.039510898292064667e-01
3.152858931571245193e-03,2.612724602222442627e-01,1.218637898564338684e-01,3.862891090102493763e-01
9.087900631129741669e-03,2.411781102418899536e-01,1.252945959568023682e-01,3.755606068298220634e-01
8.320375442504882812e+00,9.649172425270080566e-01,1.175097227096557617e+00,1.046038991212844849e+01
1.628985553979873657e-01,1.618066430091857910e-01,1.756016165018081665e-01,5.003068149089813232e-01
3.063773922622203827e-02,2.046373933553695679e-01,1.266232132911682129e-01,3.618983458727598190e-01
1.446033269166946411e-02,1.590578854084014893e-01,1.805551648139953613e-01,3.540733829140663147e-01
1.446034200489521027e-02,1.590578854084014893e-01,1.805551648139953613e-01,3.540733922272920609e-01
1.464982237666845322e-02,2.125254273414611816e-01,1.067825853824615479e-01,3.339578351005911827e-01
1.894634403288364410e-02,1.931142657995223999e-01,1.178430095314979553e-01,3.299036193639039993e-01
1.512095239013433456e-02,1.827103048563003540e-01,1.261183768510818481e-01,3.239496340975165367e-01
1.379662100225687027e-02,1.801339536905288696e-01,1.270996779203414917e-01,3.210302526131272316e-01
1.123470999300479889e-02,1.857536137104034424e-01,1.232580244541168213e-01,3.202463481575250626e-01
9.357884526252746582e-03,1.847047954797744751e-01,1.241124868392944336e-01,3.181751668453216553e-01
6.695333868265151978e-03,1.830290704965591431e-01,1.257082819938659668e-01,3.154326863586902618e-01
5.134313367307186127e-03,1.911956518888473511e-01,1.184381842613220215e-01,3.147681495174765587e-01
4.694313742220401764e-03,1.888883113861083984e-01,1.205430328845977783e-01,3.141256580129265785e-01
3.889075713232159615e-03,1.861114203929901123e-01,1.231974214315414429e-01,3.131979175377637148e-01
2.684420906007289886e-03,1.823610067367553711e-01,1.264870762825012207e-01,3.115325039252638817e-01
2.248791744932532310e-03,1.776892840862274170e-01,1.294879168272018433e-01,3.094259926583617926e-01
1.375087304040789604e-03,1.756717711687088013e-01,1.299675703048706055e-01,3.070144287776201963e-01
2.691809786483645439e-03,1.702883392572402954e-01,1.321838349103927612e-01,3.051639839541167021e-01
1.948301563970744610e-03,1.659196317195892334e-01,1.369317322969436646e-01,3.047996655805036426e-01
2.116892253980040550e-03,1.679850369691848755e-01,1.339552402496337891e-01,3.040571694727987051e-01
3.248268738389015198e-03,1.683315187692642212e-01,1.323167681694030762e-01,3.038965556770563126e-01
2.691078232601284981e-03,1.681278645992279053e-01,1.329735666513442993e-01,3.037925094831734896e-01
2.494333777576684952e-03,1.694740802049636841e-01,1.312849819660186768e-01,3.032533959485590458e-01
2.573090372607111931e-03,1.700751036405563354e-01,1.291321218013763428e-01,3.017803158145397902e-01
2.307151444256305695e-03,1.696851700544357300e-01,1.288839876651763916e-01,3.008763091638684273e-01
2.307145856320858002e-03,1.696851700544357300e-01,1.288839876651763916e-01,3.008763035759329796e-01
5.180922336876392365e-03,1.699404269456863403e-01,1.258261948823928833e-01,3.009475441649556160e-01
3.335609566420316696e-03,1.696042716503143311e-01,1.274564415216445923e-01,3.003963227383792400e-01
