loss_0,loss_1,loss_2,total_loss
8.297531127929687500e+02,8.194280862808227539e-01,8.404950611293315887e-03,8.305809458298608661e+02
7.900023193359375000e+02,8.199919462203979492e-01,8.306100033223628998e-03,7.908306173821911216e+02
5.093424682617187500e+02,8.260715007781982422e-01,7.795619778335094452e-03,5.101763353822752833e+02
2.358236846923828125e+02,8.315773010253906250e-01,8.274378255009651184e-03,2.366635363716632128e+02
1.447384033203125000e+02,8.335607051849365234e-01,1.052038185298442841e-02,1.455824844073504210e+02
5.862634658813476562e+01,8.406199216842651367e-01,1.480046007782220840e-02,5.948176696989685297e+01
4.279254531860351562e+01,8.580753803253173828e-01,1.932566426694393158e-02,4.366994636319577694e+01
2.701152992248535156e+01,8.504964113235473633e-01,1.732167601585388184e-02,2.787934800982475281e+01
2.343815994262695312e+01,8.451123833656311035e-01,1.581780612468719482e-02,2.429909013211727142e+01
1.731271362304687500e+01,8.247349858283996582e-01,1.220014505088329315e-02,1.814964875392615795e+01
1.221915149688720703e+01,7.890279293060302734e-01,8.156289346516132355e-03,1.301633571553975344e+01
8.204314231872558594e+00,7.302696704864501953e-01,3.636135254055261612e-03,8.938220037613064051e+00
6.412009239196777344e+00,6.881058812141418457e-01,2.284207381308078766e-03,7.102399327792227268e+00
5.496555805206298828e+00,6.677359342575073242e-01,2.226029988378286362e-03,6.166517769452184439e+00
4.345213413238525391e+00,6.266776323318481445e-01,3.892767708748579025e-03,4.975783813279122114e+00
3.492658376693725586e+00,5.599210858345031738e-01,1.294967532157897949e-02,4.065529137849807739e+00
2.741488695144653320e+00,5.086674094200134277e-01,2.661905065178871155e-02,3.276775155216455460e+00
2.392075777053833008e+00,4.798162281513214111e-01,3.726898133754730225e-02,2.909160986542701721e+00
1.984014630317687988e+00,4.335646629333496094e-01,5.882351100444793701e-02,2.476402804255485535e+00
1.765029907226562500e+00,3.731126487255096436e-01,9.906481206417083740e-02,2.237207368016242981e+00
1.483114123344421387e+00,3.644787371158599854e-01,1.049964725971221924e-01,1.952589333057403564e+00
1.379392266273498535e+00,3.573851585388183594e-01,1.103443801403045654e-01,1.847121804952621460e+00
1.379401683807373047e+00,3.573851585388183594e-01,1.103443801403045654e-01,1.847131222486495972e+00
1.290236949920654297e+00,3.477516174316406250e-01,1.183921098709106445e-01,1.756380677223205566e+00
1.109593868255615234e+00,3.279165923595428467e-01,1.365821063518524170e-01,1.574092566967010498e+00
8.824239969253540039e-01,3.001395761966705322e-01,1.652889847755432129e-01,1.347852557897567749e+00
8.779172897338867188e-01,2.739809751510620117e-01,1.963327825069427490e-01,1.348231047391891479e+00
7.765243053436279297e-01,2.868622839450836182e-01,1.803910434246063232e-01,1.243777632713317871e+00
7.145781517028808594e-01,2.860544621944427490e-01,1.808188259601593018e-01,1.181451439857482910e+00
6.619427800178527832e-01,2.890574336051940918e-01,1.760251820087432861e-01,1.127025395631790161e+00
6.113076210021972656e-01,2.931941747665405273e-01,1.693972349166870117e-01,1.073899030685424805e+00
5.381688475608825684e-01,3.050474226474761963e-01,1.516790091991424561e-01,9.948952794075012207e-01
4.785720109939575195e-01,3.155214488506317139e-01,1.369367390871047974e-01,9.310301989316940308e-01
4.477071166038513184e-01,3.180086016654968262e-01,1.332252025604248047e-01,8.989409208297729492e-01
4.086857438087463379e-01,3.243923485279083252e-01,1.245073303580284119e-01,8.575854226946830750e-01
3.797021508216857910e-01,3.326586186885833740e-01,1.143651902675628662e-01,8.267259597778320312e-01
3.486062586307525635e-01,3.419533967971801758e-01,1.037514209747314453e-01,7.943110764026641846e-01
3.171328306198120117e-01,3.488537967205047607e-01,9.582626819610595703e-02,7.618128955364227295e-01
2.914401590824127197e-01,3.515574336051940918e-01,9.187690913677215576e-02,7.348745018243789673e-01
2.707464694976806641e-01,3.498965203762054443e-01,9.172912687063217163e-02,7.123721167445182800e-01
2.523795664310455322e-01,3.446901142597198486e-01,9.513774514198303223e-02,6.922074258327484131e-01
2.340888530015945435e-01,3.363606631755828857e-01,1.012673825025558472e-01,6.717168986797332764e-01
2.201288938522338867e-01,3.301723897457122803e-01,1.059226691722869873e-01,6.562239527702331543e-01
2.033884227275848389e-01,3.217065930366516113e-01,1.125828325748443604e-01,6.376778483390808105e-01
2.033810019493103027e-01,3.217065930366516113e-01,1.125828325748443604e-01,6.376704275608062744e-01
1.941402256488800049e-01,3.107274174690246582e-01,1.214930713176727295e-01,6.263607144355773926e-01
1.726509481668472290e-01,3.076721429824829102e-01,1.242647916078567505e-01,6.045878827571868896e-01
1.619137972593307495e-01,3.055999875068664551e-01,1.261382102966308594e-01,5.936519950628280640e-01
1.550205796957015991e-01,3.029473125934600830e-01,1.285004913806915283e-01,5.864683836698532104e-01
1.437896788120269775e-01,2.992902398109436035e-01,1.314058601856231689e-01,5.744857788085937500e-01
1.278262287378311157e-01,2.986150383949279785e-01,1.297650635242462158e-01,5.562063306570053101e-01
1.193244978785514832e-01,2.981595993041992188e-01,1.283481419086456299e-01,5.458322390913963318e-01
1.139659434556961060e-01,3.005979061126708984e-01,1.255848109722137451e-01,5.401486605405807495e-01
