loss_0,loss_1,loss_2,total_loss
5.692395019531250000e+02,1.812840700149536133e-01,1.399059772491455078e+00,5.708198457956314087e+02
5.419097290039062500e+02,1.814862936735153198e-01,1.391735076904296875e+00,5.434829503744840622e+02
3.499095764160156250e+02,1.840485334396362305e-01,1.326745629310607910e+00,3.514203705787658691e+02
1.285957946777343750e+02,1.981239914894104004e-01,1.208346366882324219e+00,1.300022650361061096e+02
6.550382232666015625e+01,1.989032924175262451e-01,1.122758865356445312e+00,6.682548448443412781e+01
3.839812469482421875e+01,1.876365393400192261e-01,9.981205463409423828e-01,3.958388178050518036e+01
3.349695968627929688e+01,1.768934577703475952e-01,9.014433026313781738e-01,3.457529644668102264e+01
2.580083084106445312e+01,1.772649437189102173e-01,9.275231361389160156e-01,2.690561892092227936e+01
2.264582443237304688e+01,1.744847297668457031e-01,9.147464036941528320e-01,2.373505556583404541e+01
1.682476806640625000e+01,1.674638986587524414e-01,8.455739021301269531e-01,1.783780586719512939e+01
1.236184787750244141e+01,1.644545346498489380e-01,7.491909265518188477e-01,1.327549333870410919e+01
8.036087989807128906e+00,1.692128330469131470e-01,5.887060165405273438e-01,8.794006839394569397e+00
7.536136627197265625e+00,1.863462030887603760e-01,4.541866779327392578e-01,8.176669508218765259e+00
6.035114288330078125e+00,1.842934638261795044e-01,4.638357460498809814e-01,6.683243498206138611e+00
5.596872806549072266e+00,1.862534433603286743e-01,4.518741071224212646e-01,6.235000357031822205e+00
4.722006320953369141e+00,1.975192129611968994e-01,3.989796340465545654e-01,5.318505167961120605e+00
3.659422874450683594e+00,2.235938608646392822e-01,3.128970861434936523e-01,4.195913821458816528e+00
2.642155408859252930e+00,2.878459990024566650e-01,1.836209297180175781e-01,3.113622337579727173e+00
2.162604093551635742e+00,3.212866187095642090e-01,1.376438140869140625e-01,2.621534526348114014e+00
2.004717588424682617e+00,3.160088658332824707e-01,1.449781060218811035e-01,2.465704560279846191e+00
1.862359166145324707e+00,3.160699605941772461e-01,1.462245732545852661e-01,2.324653699994087219e+00
1.727558016777038574e+00,3.230451047420501709e-01,1.387322843074798584e-01,2.189335405826568604e+00
1.727565407752990723e+00,3.230451047420501709e-01,1.387322843074798584e-01,2.189342796802520752e+00
1.450996637344360352e+00,3.441702723503112793e-01,1.168620064854621887e-01,1.912028916180133820e+00
1.148496270179748535e+00,3.763756752014160156e-01,8.927563577890396118e-02,1.614147581160068512e+00
1.023601293563842773e+00,3.959824442863464355e-01,7.492001354694366455e-02,1.494503751397132874e+00
8.822599053382873535e-01,3.929246664047241211e-01,7.636219263076782227e-02,1.351546764373779297e+00
8.313117027282714844e-01,3.903303742408752441e-01,7.790048420429229736e-02,1.299542561173439026e+00
7.543664574623107910e-01,3.846778869628906250e-01,8.159170299768447876e-02,1.220636047422885895e+00
6.799607276916503906e-01,3.759294748306274414e-01,8.761299401521682739e-02,1.143503196537494659e+00
6.727449297904968262e-01,3.549643158912658691e-01,1.022115647792816162e-01,1.129920810461044312e+00
5.623871088027954102e-01,3.522048294544219971e-01,1.044052019715309143e-01,1.018997140228748322e+00
5.347280502319335938e-01,3.495962023735046387e-01,1.061337515711784363e-01,9.904580041766166687e-01
4.960140287876129150e-01,3.404755890369415283e-01,1.127189099788665771e-01,9.492085278034210205e-01
4.468473196029663086e-01,3.301433920860290527e-01,1.207759678363800049e-01,8.977666795253753662e-01
3.991379141807556152e-01,3.137325346469879150e-01,1.350587308406829834e-01,8.479291796684265137e-01
3.561923205852508545e-01,3.061989247798919678e-01,1.428945362567901611e-01,8.052857816219329834e-01
3.372117280960083008e-01,3.114203214645385742e-01,1.374017298221588135e-01,7.860337793827056885e-01
3.167399168014526367e-01,3.170020580291748047e-01,1.316736936569213867e-01,7.654156684875488281e-01
2.923751771450042725e-01,3.201699256896972656e-01,1.280923038721084595e-01,7.406374067068099976e-01
2.658714652061462402e-01,3.260810375213623047e-01,1.212689131498336792e-01,7.132214158773422241e-01
2.443873733282089233e-01,3.248575329780578613e-01,1.217099279165267944e-01,6.909548342227935791e-01
2.310501784086227417e-01,3.238207101821899414e-01,1.220066547393798828e-01,6.768775433301925659e-01
2.310585081577301025e-01,3.238207101821899414e-01,1.220066547393798828e-01,6.768858730792999268e-01
2.189051806926727295e-01,3.253132104873657227e-01,1.195021793246269226e-01,6.637205705046653748e-01
2.055879831314086914e-01,3.285631239414215088e-01,1.154081672430038452e-01,6.495592743158340454e-01
1.924008876085281372e-01,3.342061340808868408e-01,1.089071333408355713e-01,6.355141550302505493e-01
1.825850605964660645e-01,3.370811343193054199e-01,1.052798256278038025e-01,6.249460205435752869e-01
1.749287694692611694e-01,3.370630145072937012e-01,1.048826798796653748e-01,6.168744638562202454e-01
1.640232503414154053e-01,3.339669406414031982e-01,1.069064587354660034e-01,6.048966497182846069e-01
1.535493433475494385e-01,3.288549482822418213e-01,1.107357293367385864e-01,5.931400209665298462e-01
1.460409164428710938e-01,3.193550705909729004e-01,1.183292642235755920e-01,5.837252512574195862e-01
1.376842111349105835e-01,3.180602192878723145e-01,1.194341182708740234e-01,5.751785486936569214e-01
1.333936154842376709e-01,3.170128464698791504e-01,1.203025728464126587e-01,5.707090348005294800e-01
1.272358447313308716e-01,3.147364556789398193e-01,1.220932155847549438e-01,5.640655159950256348e-01
1.171643212437629700e-01,3.102821409702301025e-01,1.252209693193435669e-01,5.526674315333366394e-01
1.239019855856895447e-01,3.047070205211639404e-01,1.285107731819152832e-01,5.571197792887687683e-01
1.130788475275039673e-01,3.079034984111785889e-01,1.265991479158401489e-01,5.475814938545227051e-01
1.058644801378250122e-01,3.057791888713836670e-01,1.272319406270980835e-01,5.388756096363067627e-01
1.005768179893493652e-01,3.057833313941955566e-01,1.260814666748046875e-01,5.324416160583496094e-01
9.557971358299255371e-02,3.072227239608764648e-01,1.228328496217727661e-01,5.256352871656417847e-01
9.092438220977783203e-02,3.097752332687377930e-01,1.194011718034744263e-01,5.201007872819900513e-01
8.699277043342590332e-02,3.108038604259490967e-01,1.182254999876022339e-01,5.160221308469772339e-01
8.093730360269546509e-02,3.128317892551422119e-01,1.156930625438690186e-01,5.094621554017066956e-01
7.730732858180999756e-02,3.139848113059997559e-01,1.138777434825897217e-01,5.051698833703994751e-01
7.732383161783218384e-02,3.139848113059997559e-01,1.138777434825897217e-01,5.051863864064216614e-01
7.312987744808197021e-02,3.139160871505737305e-01,1.129277795553207397e-01,4.999737441539764404e-01
7.025900483131408691e-02,3.144237399101257324e-01,1.114340126514434814e-01,4.961167573928833008e-01
6.759612262248992920e-02,3.129104673862457275e-01,1.123794764280319214e-01,4.928860664367675781e-01
6.460797041654586792e-02,3.111934363842010498e-01,1.135309934616088867e-01,4.893324002623558044e-01
6.075572595000267029e-02,3.094208538532257080e-01,1.144407764077186584e-01,4.846173562109470367e-01
6.124490872025489807e-02,3.053004443645477295e-01,1.168642938137054443e-01,4.834096468985080719e-01
5.461142212152481079e-02,3.062527477741241455e-01,1.155792474746704102e-01,4.764434173703193665e-01
5.287733301520347595e-02,3.067137002944946289e-01,1.149519234895706177e-01,4.745429567992687225e-01
