loss_0,loss_1,loss_2,total_loss
4.897673046875000000e+04,4.281117320060729980e-01,7.421020269393920898e-01,4.897790068250894547e+04
4.826730468750000000e+04,4.278504252433776855e-01,7.402417659759521484e-01,4.826847277969121933e+04
4.520183203125000000e+04,4.272621870040893555e-01,7.321071624755859375e-01,4.520299140059947968e+04
2.490724218750000000e+04,4.817182123661041260e-01,6.682983636856079102e-01,2.490839220407605171e+04
1.582171875000000000e+04,4.810673892498016357e-01,5.878231525421142578e-01,1.582278764054179192e+04
1.155311132812500000e+04,4.218436479568481445e-01,5.618264675140380859e-01,1.155409499824047089e+04
9.016773437500000000e+03,2.982163131237030029e-01,5.566408038139343262e-01,9.017628294616937637e+03
5.522522949218750000e+03,1.365920454263687134e-01,5.916709899902343750e-01,5.523251212254166603e+03
5.467105468750000000e+03,5.417801812291145325e-02,6.369522809982299805e-01,5.467796599049121141e+03
4.516444335937500000e+03,8.330979198217391968e-02,6.111434102058410645e-01,4.517138789139688015e+03
3.430798583984375000e+03,6.227009743452072144e-02,6.316488385200500488e-01,3.431492502920329571e+03
2.705231445312500000e+03,5.366454645991325378e-02,6.307175159454345703e-01,2.705915827374905348e+03
2.098477050781250000e+03,4.563877731561660767e-02,6.136297583580017090e-01,2.099136319316923618e+03
1.572517578125000000e+03,4.679004848003387451e-02,5.902983546257019043e-01,1.573154666528105736e+03
1.264842773437500000e+03,2.919423207640647888e-02,5.660129189491271973e-01,1.265437980588525534e+03
1.039673095703125000e+03,3.468035534024238586e-02,5.611709952354431152e-01,1.040268947053700686e+03
8.828995971679687500e+02,3.961485624313354492e-02,5.539828538894653320e-01,8.834931948781013489e+02
7.545101318359375000e+02,4.222937673330307007e-02,5.467506051063537598e-01,7.550991118177771568e+02
7.638726196289062500e+02,5.072826519608497620e-02,5.362448096275329590e-01,7.644595927037298679e+02
6.553673706054687500e+02,4.527526721358299255e-02,5.411586165428161621e-01,6.559538044892251492e+02
5.368937377929687500e+02,4.788946732878684998e-02,5.354493856430053711e-01,5.374770766459405422e+02
4.739895935058593750e+02,4.834183678030967712e-02,5.340586900711059570e-01,4.745719940327107906e+02
3.984869384765625000e+02,5.031407251954078674e-02,5.322380065917968750e-01,3.990694905556738377e+02
3.157372131347656250e+02,5.180734768509864807e-02,5.251482129096984863e-01,3.163141686953604221e+02
2.983098754882812500e+02,6.194398179650306702e-02,5.124647617340087891e-01,2.988842842318117619e+02
2.983093872070312500e+02,6.194398179650306702e-02,5.124647617340087891e-01,2.988837959505617619e+02
2.375144042968750000e+02,5.473325774073600769e-02,5.135924220085144043e-01,2.380827299766242504e+02
2.233457946777343750e+02,5.246698111295700073e-02,5.125746726989746094e-01,2.239108363315463066e+02
1.990287475585937500e+02,4.821205139160156250e-02,5.086739063262939453e-01,1.995856335163116455e+02
1.692284088134765625e+02,4.326542839407920837e-02,5.040040016174316406e-01,1.697756782434880733e+02
1.468096008300781250e+02,3.624917566776275635e-02,4.953055679798126221e-01,1.473411555737257004e+02
1.360366516113281250e+02,3.575391322374343872e-02,4.947893917560577393e-01,1.365671949163079262e+02
1.229708557128906250e+02,3.446021676063537598e-02,4.930493831634521484e-01,1.234983653128147125e+02
1.132521820068359375e+02,3.020335547626018524e-02,4.887585639953613281e-01,1.137711439263075590e+02
1.030159759521484375e+02,2.781795151531696320e-02,4.855565726757049561e-01,1.035293504763394594e+02
9.423746490478515625e+01,2.498332597315311432e-02,4.818406701087951660e-01,9.474428890086710453e+01
8.869750976562500000e+01,2.254159748554229736e-02,4.797054529190063477e-01,8.919975681602954865e+01
8.292524719238281250e+01,2.142051234841346741e-02,4.791514873504638672e-01,8.342581919208168983e+01
7.243399047851562500e+01,1.810816861689090729e-02,4.782970547676086426e-01,7.293039570190012455e+01
6.683583831787109375e+01,1.654542982578277588e-02,4.791919887065887451e-01,6.733157573640346527e+01
6.333112335205078125e+01,1.697672903537750244e-02,4.792466461658477783e-01,6.382734672725200653e+01
5.991147613525390625e+01,1.701118610799312592e-02,4.797164797782897949e-01,6.040820380114018917e+01
5.539925003051757812e+01,1.632488518953323364e-02,4.804324805736541748e-01,5.589600739628076553e+01
5.323783874511718750e+01,1.611293852329254150e-02,4.827456176280975342e-01,5.373669730126857758e+01
4.809701919555664062e+01,1.487652678042650223e-02,4.825374782085418701e-01,4.859443320054560900e+01
4.605999755859375000e+01,1.427053101360797882e-02,4.826441109180450439e-01,4.655691220052540302e+01
4.606508636474609375e+01,1.427053101360797882e-02,4.826441109180450439e-01,4.656200100667774677e+01
4.368955612182617188e+01,1.363215781748294830e-02,4.833023548126220703e-01,4.418649063445627689e+01
4.022335433959960938e+01,1.281535997986793518e-02,4.845420122146606445e-01,4.072071171179413795e+01
4.574477386474609375e+01,1.023704372346401215e-02,4.884501695632934570e-01,4.624346107803285122e+01
3.869369125366210938e+01,1.195348426699638367e-02,4.857636988162994385e-01,3.919140843674540520e+01
3.572113800048828125e+01,1.148365531116724014e-02,4.871474206447601318e-01,3.621976907644420862e+01
3.382921218872070312e+01,1.125263422727584839e-02,4.881071150302886963e-01,3.432857193797826767e+01
3.113583374023437500e+01,1.083738356828689575e-02,4.898248016834259033e-01,3.163649592548608780e+01
2.895382118225097656e+01,1.035479828715324402e-02,4.927802681922912598e-01,2.945695624873042107e+01
2.684388732910156250e+01,9.409973397850990295e-03,4.956730306148529053e-01,2.734897033311426640e+01
2.552225494384765625e+01,9.140282869338989258e-03,4.966529309749603271e-01,2.602804815769195557e+01
2.393319892883300781e+01,8.332918398082256317e-03,4.987632036209106445e-01,2.444029505085200071e+01
2.282881164550781250e+01,7.885340601205825806e-03,5.007355213165283203e-01,2.333743250742554665e+01
2.159135437011718750e+01,7.265872322022914886e-03,5.027176737785339355e-01,2.210133791621774435e+01
2.029297065734863281e+01,6.279018241912126541e-03,5.051309466361999512e-01,2.080438062222674489e+01
1.935022926330566406e+01,5.727562122046947479e-03,5.060284137725830078e-01,1.986198523920029402e+01
1.856469917297363281e+01,5.382224451750516891e-03,5.061089396476745605e-01,1.907619033707305789e+01
1.731051826477050781e+01,4.425597842782735825e-03,5.062503814697265625e-01,1.782119424408301711e+01
1.662714576721191406e+01,4.053071141242980957e-03,5.067692995071411133e-01,1.713796813786029816e+01
1.609453010559082031e+01,3.981356974691152573e-03,5.070167183876037598e-01,1.660552818095311522e+01
1.525171470642089844e+01,3.685086499899625778e-03,5.076817274093627930e-01,1.576308152033016086e+01
1.470781040191650391e+01,3.415646497160196304e-03,5.078874826431274414e-01,1.521911353105679154e+01
1.470922565460205078e+01,3.415646497160196304e-03,5.078874826431274414e-01,1.522052878374233842e+01
1.414251613616943359e+01,2.928254893049597740e-03,5.071759223937988281e-01,1.465262031345628202e+01
1.321306705474853516e+01,2.756620291620492935e-03,5.071105360984802246e-01,1.372293421113863587e+01
1.289675140380859375e+01,2.728887135162949562e-03,5.067939162254333496e-01,1.340627420716919005e+01
1.244565105438232422e+01,2.652811119332909584e-03,5.061379075050354004e-01,1.295444177300669253e+01
1.191760540008544922e+01,2.326139947399497032e-03,5.060009360313415527e-01,1.242593247606419027e+01
1.131512641906738281e+01,2.167534083127975464e-03,5.055723786354064941e-01,1.182286633178591728e+01
1.079468441009521484e+01,1.978235319256782532e-03,5.056416392326354980e-01,1.130230428464710712e+01
1.034286880493164062e+01,1.842383877374231815e-03,5.057423114776611328e-01,1.085045350028667599e+01
9.950178146362304688e+00,1.645629294216632843e-03,5.056901574134826660e-01,1.045751393307000399e+01
9.538700103759765625e+00,1.650663325563073158e-03,5.055228471755981445e-01,1.004587361426092684e+01
9.190484046936035156e+00,1.663730014115571976e-03,5.050848126411437988e-01,9.697232589591294527e+00
8.935871124267578125e+00,1.648438978008925915e-03,5.046634674072265625e-01,9.442183030652813613e+00
8.419162750244140625e+00,1.572715700604021549e-03,5.036627054214477539e-01,8.924398171366192400e+00
8.401875495910644531e+00,1.406371709890663624e-03,5.020868182182312012e-01,8.905368685838766396e+00
8.120891571044921875e+00,1.482406398281455040e-03,5.028588771820068359e-01,8.625232854625210166e+00
7.837309837341308594e+00,1.435348298400640488e-03,5.024320483207702637e-01,8.341177233960479498e+00
7.580074787139892578e+00,1.394171034917235374e-03,5.021700859069824219e-01,8.083639044081792235e+00
7.332072257995605469e+00,1.359123270958662033e-03,5.017265081405639648e-01,7.835157889407128096e+00
7.023097515106201172e+00,1.335892593488097191e-03,5.014516711235046387e-01,7.525885078823193908e+00
6.706154346466064453e+00,1.316554727964103222e-03,5.011986494064331055e-01,7.208669550600461662e+00
6.468515396118164062e+00,1.272601657547056675e-03,5.007338523864746094e-01,6.970521850162185729e+00
6.469927787780761719e+00,1.272601657547056675e-03,5.007338523864746094e-01,6.971934241824783385e+00
6.231575489044189453e+00,1.276997732929885387e-03,5.008222460746765137e-01,6.733674732851795852e+00
6.074386596679687500e+00,1.275262911804020405e-03,5.007789731025695801e-01,6.576440832694061100e+00
5.834627151489257812e+00,1.267009763978421688e-03,5.004544258117675781e-01,6.336348587065003812e+00
