loss_0,loss_1,loss_2,total_loss
4.897621093750000000e+04,4.281117320060729980e-01,7.421020269393920898e-01,4.897738115125894547e+04
4.826682812500000000e+04,4.278504848480224609e-01,7.402412891387939453e-01,4.826799621677398682e+04
4.520121484375000000e+04,4.272620379924774170e-01,7.321045994758605957e-01,4.520237421038746834e+04
2.490685351562500000e+04,4.817215204238891602e-01,6.682801246643066406e-01,2.490800351727008820e+04
1.582116992187500000e+04,4.810698032379150391e-01,5.878010988235473633e-01,1.582223879277706146e+04
1.155355371093750000e+04,4.218515753746032715e-01,5.618079900741577148e-01,1.155453737050294876e+04
9.016600585937500000e+03,2.981936037540435791e-01,5.566251873970031738e-01,9.017455404728651047e+03
5.522630859375000000e+03,1.365527361631393433e-01,5.916901230812072754e-01,5.523359102234244347e+03
5.474682128906250000e+03,5.413426458835601807e-02,6.371105313301086426e-01,5.475373373702168465e+03
4.517072265625000000e+03,8.332237601280212402e-02,6.111781001091003418e-01,4.517766766101121902e+03
3.432860107421875000e+03,6.230631843209266663e-02,6.316466927528381348e-01,3.433554060433059931e+03
2.706049316406250000e+03,5.367247760295867920e-02,6.307275891304016113e-01,2.706733716472983360e+03
2.098892089843750000e+03,4.564325511455535889e-02,6.136531233787536621e-01,2.099551386222243309e+03
1.571702636718750000e+03,4.670392349362373352e-02,5.903110504150390625e-01,1.572339651692658663e+03
1.266995117187500000e+03,2.914504706859588623e-02,5.659178495407104492e-01,1.267590180084109306e+03
1.039423583984375000e+03,3.468966484069824219e-02,5.611869692802429199e-01,1.040019460618495941e+03
8.849694824218750000e+02,3.955524787306785583e-02,5.541908144950866699e-01,8.855632284842431545e+02
7.564279785156250000e+02,4.219807684421539307e-02,5.469338297843933105e-01,7.570171104222536087e+02
7.715273437500000000e+02,5.051674321293830872e-02,5.365657806396484375e-01,7.721144262738525867e+02
6.587911987304687500e+02,4.512640833854675293e-02,5.414754152297973633e-01,6.593778005540370941e+02
5.387695922851562500e+02,4.789236187934875488e-02,5.355672240257263184e-01,5.393530518710613251e+02
4.746716003417968750e+02,4.845535010099411011e-02,5.340673327445983887e-01,4.752541230246424675e+02
3.990827941894531250e+02,5.037438496947288513e-02,5.322338342666625977e-01,3.996654024086892605e+02
