loss_0,loss_1,loss_2,total_loss
1.176712036132812500e+00,1.677529700100421906e-02,5.506125092506408691e-01,1.744099842384457588e+00
6.039436459541320801e-01,8.414777927100658417e-03,5.346125364303588867e-01,1.146970960311591625e+00
1.636946201324462891e-02,1.794783602235838771e-04,4.993662536144256592e-01,5.159151939878938720e-01
1.626664772629737854e-02,1.798185257939621806e-04,4.993481338024139404e-01,5.157946000545052812e-01
1.582828350365161896e-02,1.814036368159577250e-04,4.992661476135253906e-01,5.152758347539929673e-01
1.369813177734613419e-02,2.042776322923600674e-04,4.983664453029632568e-01,5.122688547126017511e-01
1.288205850869417191e-02,1.839294563978910446e-04,4.985475838184356689e-01,5.116135717835277319e-01
1.099500805139541626e-02,1.334189437329769135e-04,4.988088011741638184e-01,5.099372281692922115e-01
8.882799185812473297e-03,8.578465349273756146e-05,4.987171292304992676e-01,5.076857130698044784e-01
4.881497006863355637e-03,2.802308699756395072e-05,4.977944195270538330e-01,5.027039396209147526e-01
1.761560444720089436e-03,2.014036363107152283e-05,4.960322082042694092e-01,4.978139090126205701e-01
9.185931994579732418e-04,2.144701284123584628e-05,4.944869577884674072e-01,4.954269980007666163e-01
8.969753398559987545e-04,1.307550155615899712e-05,4.941745996475219727e-01,4.950846504889341304e-01
8.418076904490590096e-04,9.411052815266884863e-06,4.942113459110260010e-01,4.950625646542903269e-01
8.258662419393658638e-04,8.933815479394979775e-06,4.942262470722198486e-01,4.950610471296386095e-01
8.029982564039528370e-04,8.014558261493220925e-06,4.942251443862915039e-01,4.950361572009569500e-01
6.958943558856844902e-04,2.031197482210700400e-06,4.942206442356109619e-01,4.949185697889788571e-01
7.606977596879005432e-04,1.713540314085548744e-06,4.939166307449340820e-01,4.946790420449360681e-01
2.178367925807833672e-03,2.428376501484308392e-05,4.913842976093292236e-01,4.935869493001519004e-01
2.333626616746187210e-03,2.481194132997188717e-05,4.909818172454833984e-01,4.933402558035595575e-01
2.491603372618556023e-03,2.706129271246027201e-05,4.907971322536468506e-01,4.933157969189778669e-01
2.544569550082087517e-03,2.803415736707393080e-05,4.907276332378387451e-01,4.933002369452879066e-01
2.856714650988578796e-03,3.478858707239851356e-05,4.902966022491455078e-01,4.931881054872064851e-01
3.344083670526742935e-03,4.793488187715411186e-05,4.895826280117034912e-01,4.929746465641073883e-01
4.555328283458948135e-03,9.597794996807351708e-05,4.877243638038635254e-01,4.923756700372905470e-01
4.555346909910440445e-03,9.597794996807351708e-05,4.877243638038635254e-01,4.923756886637420394e-01
7.004469633102416992e-03,2.905717701651155949e-04,4.837837219238281250e-01,4.910787633270956576e-01
1.316547952592372894e-02,1.399229513481259346e-03,4.752361178398132324e-01,4.898008268792182207e-01
8.496980182826519012e-03,1.222800230607390404e-03,4.778431653976440430e-01,4.875629458110779524e-01
8.321007713675498962e-03,1.775910379365086555e-03,4.763858914375305176e-01,4.864828095305711031e-01
7.442533504217863083e-03,1.874773763120174408e-03,4.768373370170593262e-01,4.861546442843973637e-01
7.063534110784530640e-03,1.893445034511387348e-03,4.769710004329681396e-01,4.859279795782640576e-01
4.555323626846075058e-03,1.893303589895367622e-03,4.779717326164245605e-01,4.844203598331660032e-01
4.862769972532987595e-03,2.349363174289464951e-03,4.765194356441497803e-01,4.837315687909722328e-01
4.721956327557563782e-03,2.737086964771151543e-03,4.753157198429107666e-01,4.827747631352394819e-01
6.391117814928293228e-03,3.946885466575622559e-03,4.716894328594207764e-01,4.820274361409246922e-01
8.055826649069786072e-03,5.246311426162719727e-03,4.679298996925354004e-01,4.812320377677679062e-01
8.613612502813339233e-03,5.784571170806884766e-03,4.667521417140960693e-01,4.811503253877162933e-01
8.475145325064659119e-03,5.607896018773317337e-03,4.670530855655670166e-01,4.811361269094049931e-01
8.510263636708259583e-03,5.638950970023870468e-03,4.669860303401947021e-01,4.811352449469268322e-01
8.585407398641109467e-03,5.719333421438932419e-03,4.668177962303161621e-01,4.811225370503962040e-01
9.023607708513736725e-03,6.252226885408163071e-03,4.657362997531890869e-01,4.810121343471109867e-01
9.447688236832618713e-03,6.921076215803623199e-03,4.644498527050018311e-01,4.808186171576380730e-01
1.004460733383893967e-02,8.429658599197864532e-03,4.617969095706939697e-01,4.802711755037307739e-01
1.025480497628450394e-02,1.088038645684719086e-02,4.580931961536407471e-01,4.792283875867724419e-01
9.276437573134899139e-03,1.436365582048892975e-02,4.537571668624877930e-01,4.773972602561116219e-01
9.276430122554302216e-03,1.436365582048892975e-02,4.537571668624877930e-01,4.773972528055310249e-01
6.337597500532865524e-03,1.739094033837318420e-02,4.505321979522705078e-01,4.742607357911765575e-01
8.672031573951244354e-03,2.196109294891357422e-02,4.461284577846527100e-01,4.767615823075175285e-01
4.658672958612442017e-03,1.912390999495983124e-02,4.487451910972595215e-01,4.725277740508317947e-01
4.041301086544990540e-03,1.641847193241119385e-02,4.503049850463867188e-01,4.707647580653429031e-01
2.739832969382405281e-03,1.919811777770519257e-02,4.483939409255981445e-01,4.703318916726857424e-01
2.678933087736368179e-03,1.911008544266223907e-02,4.483388066291809082e-01,4.701278251595795155e-01
2.635817741975188255e-03,1.890262030065059662e-02,4.484989345073699951e-01,4.700373725499957800e-01
2.509784884750843048e-03,1.920798420906066895e-02,4.482696652412414551e-01,4.699874343350529671e-01
2.450797706842422485e-03,1.918901689350605011e-02,4.483036994934082031e-01,4.699435140937566757e-01
2.419801894575357437e-03,1.932085677981376648e-02,4.481806159019470215e-01,4.699212745763361454e-01
2.376820892095565796e-03,1.941596716642379761e-02,4.481168985366821289e-01,4.699096865952014923e-01
2.283194800838828087e-03,1.958793029189109802e-02,4.480144381523132324e-01,4.698855632450431585e-01
2.162101911380887032e-03,1.982215419411659241e-02,4.478782713413238525e-01,4.698625274468213320e-01
2.125913975760340691e-03,1.990955136716365814e-02,4.478183388710021973e-01,4.698538042139261961e-01
2.030307892709970474e-03,2.019839361310005188e-02,4.476250410079956055e-01,4.698537425138056278e-01
2.075236290693283081e-03,2.005811780691146851e-02,4.477182924747467041e-01,4.698516465723514557e-01
2.084730425849556923e-03,2.007001265883445740e-02,4.476951658725738525e-01,4.698499089572578669e-01
2.133611589670181274e-03,2.010839432477951050e-02,4.476046264171600342e-01,4.698466323316097260e-01
2.148001687601208687e-03,2.012600190937519073e-02,4.475719034671783447e-01,4.698459070641547441e-01
2.198887988924980164e-03,2.025250159204006195e-02,4.473898708820343018e-01,4.698412604629993439e-01
2.281601307913661003e-03,2.066214382648468018e-02,4.468882679939270020e-01,4.698320131283253431e-01
2.357567893341183662e-03,2.090102806687355042e-02,4.465512037277221680e-01,4.698097996879369020e-01
2.357654972001910210e-03,2.090102806687355042e-02,4.465512037277221680e-01,4.698098867665976286e-01
