loss_0,loss_1,loss_2,total_loss
1.176757097244262695e+00,1.677529700100421906e-02,5.506125092506408691e-01,1.744144903495907784e+00
6.039729118347167969e-01,8.414773270487785339e-03,5.346125364303588867e-01,1.147000221535563469e+00
1.636973582208156586e-02,1.794964482542127371e-04,4.993657469749450684e-01,5.159149792452808470e-01
1.626681536436080933e-02,1.798369776224717498e-04,4.993475377559661865e-01,5.157941900979494676e-01
1.543187536299228668e-02,1.830940018408000469e-04,4.991836547851562500e-01,5.147986241499893367e-01
1.288364361971616745e-02,1.840048062149435282e-04,4.985466301441192627e-01,5.116142785700503737e-01
1.185997202992439270e-02,1.682946021901443601e-04,4.982759058475494385e-01,5.103041724796639755e-01
7.431947160512208939e-03,6.163763464428484440e-05,4.958536326885223389e-01,5.033472174836788327e-01
2.352068666368722916e-03,3.104544248344609514e-06,4.946817457675933838e-01,4.970369189782104513e-01
8.702290360815823078e-04,8.962869287643115968e-06,4.941532015800476074e-01,4.950323934854168328e-01
8.381349034607410431e-04,9.173567377729341388e-06,4.941690266132354736e-01,4.950163350840739440e-01
7.887124666012823582e-04,9.244278771802783012e-06,4.941714704036712646e-01,4.949694271490443498e-01
7.825299398973584175e-04,8.949110451794695109e-06,4.940942227840423584e-01,4.948857018343915115e-01
9.029533248394727707e-04,7.717602784396149218e-06,4.937429726123809814e-01,4.946536435400048504e-01
1.313490094617009163e-03,7.047436611173907295e-06,4.928960204124450684e-01,4.942165579436732514e-01
2.149144420400261879e-03,1.757621066644787788e-05,4.913995563983917236e-01,4.935662770294584334e-01
2.978984965011477470e-03,4.244470255798660219e-05,4.901118576526641846e-01,4.931332873202336486e-01
2.998908050358295441e-03,4.669182089855894446e-05,4.899243712425231934e-01,4.929699711137800477e-01
2.907284535467624664e-03,4.681761129177175462e-05,4.899111986160278320e-01,4.928653007627872285e-01
2.906173700466752052e-03,5.092948413221165538e-05,4.897784292697906494e-01,4.927355324543896131e-01
3.002003533765673637e-03,7.684421871090307832e-05,4.891503751277923584e-01,4.922292228802689351e-01
3.302972763776779175e-03,1.456979225622490048e-04,4.880574345588684082e-01,4.915061052452074364e-01
3.575158771127462387e-03,3.272798785474151373e-04,4.864503443241119385e-01,4.903527829737868160e-01
3.575157606974244118e-03,3.272798785474151373e-04,4.864503443241119385e-01,4.903527818096335977e-01
3.057370893657207489e-03,5.067542660981416702e-04,4.855489432811737061e-01,4.891130684409290552e-01
4.809811711311340332e-03,1.015626359730958939e-03,4.819314777851104736e-01,4.877569158561527729e-01
5.129463039338588715e-03,1.048454316332936287e-03,4.811189174652099609e-01,4.872968348208814859e-01
7.264531217515468597e-03,1.799635472707450390e-03,4.771573543548583984e-01,4.862215210450813174e-01
6.405726540833711624e-03,1.562734949402511120e-03,4.781218469142913818e-01,4.860903084045276046e-01
6.786587648093700409e-03,1.703452784568071365e-03,4.775449335575103760e-01,4.860349739901721478e-01
7.204540073871612549e-03,1.965105067938566208e-03,4.766187071800231934e-01,4.857883523218333721e-01
9.436772204935550690e-03,3.652446903288364410e-03,4.717634618282318115e-01,4.848526809364557266e-01
7.811841554939746857e-03,3.606054466217756271e-03,4.720006287097930908e-01,4.834185247309505939e-01
9.093752130866050720e-03,5.820206366479396820e-03,4.668603539466857910e-01,4.817743124440312386e-01
8.044316433370113373e-03,4.919628147035837173e-03,4.685708284378051758e-01,4.815347730182111263e-01
8.550270460546016693e-03,5.512093659490346909e-03,4.672419130802154541e-01,4.813042772002518177e-01
8.577500469982624054e-03,5.552376620471477509e-03,4.671733379364013672e-01,4.813032150268554688e-01
8.562669157981872559e-03,5.548331886529922485e-03,4.671912193298339844e-01,4.813022203743457794e-01
8.403286337852478027e-03,5.480943247675895691e-03,4.674039185047149658e-01,4.812881480902433395e-01
8.020061999559402466e-03,5.293459631502628326e-03,4.679382443428039551e-01,4.812517659738659859e-01
7.597089279443025589e-03,5.072514992207288742e-03,4.685344696044921875e-01,4.812040738761425018e-01
7.131847087293863297e-03,4.831788595765829086e-03,4.691621363162994385e-01,4.811257719993591309e-01
6.631015334278345108e-03,4.599946085363626480e-03,4.697483181953430176e-01,4.809792796149849892e-01
6.056079640984535217e-03,4.413395188748836517e-03,4.702123701572418213e-01,4.806818449869751930e-01
6.056095939129590988e-03,4.413395188748836517e-03,4.702123701572418213e-01,4.806818612851202488e-01
5.171122029423713684e-03,4.302789457142353058e-03,4.705415070056915283e-01,4.800154184922575951e-01
3.794898977503180504e-03,4.351085983216762543e-03,4.706367552280426025e-01,4.787827401887625456e-01
2.014402765780687332e-03,4.365045111626386642e-03,4.710502028465270996e-01,4.774296507239341736e-01
3.512851893901824951e-03,4.889961332082748413e-03,4.704276025295257568e-01,4.788304157555103302e-01
1.692457124590873718e-03,4.601588938385248184e-03,4.707083404064178467e-01,4.770023864693939686e-01
1.063809497281908989e-03,4.819956142455339432e-03,4.703978598117828369e-01,4.762816254515200853e-01
1.445712056010961533e-03,5.454372614622116089e-03,4.686689376831054688e-01,4.755690223537385464e-01
2.224739873781800270e-03,8.541603572666645050e-03,4.629140198230743408e-01,4.736803632695227861e-01
3.209999203681945801e-02,2.319249510765075684e-02,4.499845504760742188e-01,5.052770376205444336e-01
2.546800067648291588e-03,1.248605363070964813e-02,4.582235515117645264e-01,4.732564052101224661e-01
2.134668407961726189e-03,1.099706813693046570e-02,4.598150551319122314e-01,4.729467916768044233e-01
1.375565771013498306e-03,1.238749641925096512e-02,4.590021967887878418e-01,4.727652589790523052e-01
1.421616412699222565e-03,1.263112947344779968e-02,4.581310153007507324e-01,4.721837611868977547e-01
1.357165165245532990e-03,1.277321111410856247e-02,4.578064978122711182e-01,4.719368740916252136e-01
1.262425095774233341e-03,1.264546066522598267e-02,4.577806591987609863e-01,4.716885449597612023e-01
1.635343534871935844e-03,1.513538695871829987e-02,4.549505710601806641e-01,4.717213015537708998e-01
1.323466538451611996e-03,1.387748587876558304e-02,4.563340842723846436e-01,4.715350366896018386e-01
1.064864452928304672e-03,1.472217030823230743e-02,4.554618597030639648e-01,4.712488944642245770e-01
1.109581207856535912e-03,1.550581958144903183e-02,4.544148147106170654e-01,4.710302154999226332e-01
1.234329422004520893e-03,1.701519079506397247e-02,4.524817466735839844e-01,4.707312668906524777e-01
2.612624783068895340e-03,1.874631270766258240e-02,4.491567313671112061e-01,4.705156688578426838e-01
1.789002795703709126e-03,1.810019277036190033e-02,4.503240287303924561e-01,4.702132242964580655e-01
1.813036855310201645e-03,1.936931535601615906e-02,4.488090574741363525e-01,4.699914096854627132e-01
3.277994925156235695e-03,1.889931410551071167e-02,4.483993649482727051e-01,4.705766739789396524e-01
1.983000896871089935e-03,1.925792917609214783e-02,4.486694931983947754e-01,4.699104232713580132e-01
1.983012305572628975e-03,1.925792917609214783e-02,4.486694931983947754e-01,4.699104346800595522e-01
2.374075120314955711e-03,1.996850036084651947e-02,4.475302994251251221e-01,4.698728749062865973e-01
2.227666787803173065e-03,2.018628269433975220e-02,4.474466145038604736e-01,4.698605639860033989e-01
2.284595277160406113e-03,2.004704624414443970e-02,4.475250244140625000e-01,4.698566659353673458e-01
2.312055788934230804e-03,2.014160901308059692e-02,4.474020302295684814e-01,4.698556950315833092e-01
2.313220174983143806e-03,2.018647082149982452e-02,4.473556578159332275e-01,4.698553488124161959e-01
2.310057403519749641e-03,2.021936327219009399e-02,4.473249912261962891e-01,4.698544119019061327e-01
2.282247878611087799e-03,2.044779993593692780e-02,4.471169114112854004e-01,4.698469592258334160e-01
2.262354828417301178e-03,2.068139798939228058e-02,4.468943178653717041e-01,4.698380706831812859e-01
2.221296541392803192e-03,2.120350301265716553e-02,4.463910460472106934e-01,4.698158456012606621e-01
2.180564915761351585e-03,2.171600982546806335e-02,4.458916485309600830e-01,4.697882232721894979e-01
2.175203058868646622e-03,2.204438485205173492e-02,4.455380439758300781e-01,4.697576318867504597e-01
2.208679681643843651e-03,2.224986627697944641e-02,4.452728033065795898e-01,4.697313492652028799e-01
2.249256940558552742e-03,2.254771441221237183e-02,4.449207186698913574e-01,4.697176900226622820e-01
2.411321271210908890e-03,2.263320237398147583e-02,4.446691572666168213e-01,4.697136809118092060e-01
2.315091667696833611e-03,2.294328436255455017e-02,4.444468617439270020e-01,4.697052377741783857e-01
2.345549641177058220e-03,2.295888215303421021e-02,4.443994462490081787e-01,4.697038780432194471e-01
2.353170188143849373e-03,2.305217832326889038e-02,4.442962706089019775e-01,4.697016191203147173e-01
2.360780490562319756e-03,2.332980558276176453e-02,4.440060555934906006e-01,4.696966416668146849e-01
2.382337581366300583e-03,2.351367287337779999e-02,4.437943100929260254e-01,4.696903205476701260e-01
2.411923138424754143e-03,2.385558187961578369e-02,4.434099793434143066e-01,4.696774843614548445e-01
2.411917317658662796e-03,2.385558187961578369e-02,4.434099793434143066e-01,4.696774785406887531e-01
2.470388775691390038e-03,2.418345026671886444e-02,4.430102407932281494e-01,4.696640798356384039e-01
2.396178897470235825e-03,2.389128878712654114e-02,4.433620870113372803e-01,4.696495546959340572e-01
2.404843922704458237e-03,2.402848005294799805e-02,4.431974887847900391e-01,4.696308127604424953e-01
2.281899331137537956e-03,2.344897203147411346e-02,4.438732564449310303e-01,4.696041278075426817e-01
2.163722412660717964e-03,2.260706201195716858e-02,4.448363482952117920e-01,4.696071327198296785e-01
