task,method,seed,relative_l1,relative_l2,log_path
reaction,baseline,0,0.016627,0.030553,results/mseed_react_base_s0.log
reaction,baseline,1,0.040922,0.073348,results/mseed_react_base_s1.log
reaction,baseline,2,0.977257,0.975471,results/mseed_react_base_s2.log
reaction,baseline,3,0.028825,0.048772,results/mseed_react_base_s3.log
reaction,baseline,4,0.023122,0.041474,results/mseed_react_base_s4.log
reaction,baseline,5,0.038745,0.058962,results/mseed_react_base_s5.log
reaction,baseline,6,0.030905,0.056221,results/mseed_react_base_s6.log
reaction,baseline,7,0.045121,0.077776,results/mseed_react_base_s7.log
reaction,baseline,8,0.034742,0.061446,results/mseed_react_base_s8.log
reaction,baseline,9,0.97519,0.973387,results/mseed_react_base_s9.log
reaction,baseline,10,0.037015,0.065983,results/mseed_react_base_s10.log
reaction,baseline,11,,,results/mseed_react_base_s11.log
reaction,ours,0,0.001947,0.004269,results/mseed_react_resff_s0.log
reaction,ours,1,0.003363,0.007773,results/mseed_react_resff_s1.log
reaction,ours,2,0.003617,0.010086,results/mseed_react_resff_s2.log
reaction,ours,3,0.002476,0.005758,results/mseed_react_resff_s3.log
reaction,ours,4,0.003488,0.009272,results/mseed_react_resff_s4.log
reaction,ours,5,0.003264,0.008858,results/mseed_react_resff_s5.log
reaction,ours,6,0.002935,0.008587,results/mseed_react_resff_s6.log
reaction,ours,7,0.003166,0.00742,results/mseed_react_resff_s7.log
reaction,ours,8,0.004244,0.010331,results/mseed_react_resff_s8.log
reaction,ours,9,0.004741,0.012896,results/mseed_react_resff_s9.log
reaction,ours,10,0.003198,0.008027,results/mseed_react_resff_s10.log
wave,baseline,0,0.022289,0.022234,results/mseed_wave_base_s0.log
wave,baseline,1,0.031177,0.031481,results/mseed_wave_base_s1.log
wave,baseline,2,0.045151,0.045948,results/mseed_wave_base_s2.log
wave,baseline,3,0.022797,0.022999,results/mseed_wave_base_s3.log
wave,baseline,4,0.18026,0.192173,results/mseed_wave_base_s4.log
wave,ours,0,0.013471,0.013449,results/mseed_wave_resff_s0.log
wave,ours,1,0.012293,0.012776,results/mseed_wave_resff_s1.log
wave,ours,2,0.011816,0.012116,results/mseed_wave_resff_s2.log
wave,ours,3,0.0092,0.008985,results/mseed_wave_resff_s3.log
wave,ours,4,0.012799,0.013588,results/mseed_wave_resff_s4.log
convection,baseline,0,0.62817,0.709726,results/mseed_conv_base_s0.log
convection,baseline,1,0.713941,0.786893,results/mseed_conv_base_s1.log
convection,baseline,2,0.59963,0.681992,results/mseed_conv_base_s2.log
convection,baseline,3,0.557807,0.640064,results/mseed_conv_base_s3.log
convection,baseline,4,0.597886,0.680522,results/mseed_conv_base_s4.log
convection,ours,0,1.006554,1.023229,results/mseed_conv_resff_s0.log
convection,ours,1,1.003851,1.014935,results/mseed_conv_resff_s1.log
convection,ours,2,1.007648,1.024993,results/mseed_conv_resff_s2.log
convection,ours,3,1.058839,1.11867,results/mseed_conv_resff_s3.log
convection,ours,4,1.002921,1.013319,results/mseed_conv_resff_s4.log
