model,objective,reaction_loss,reaction_rmae,reaction_rmse,wave_loss,wave_rmae,wave_rmse,pinnacle_rmae,pinnacle_rmse
PINN,Vanilla,2.0e-1,0.982,0.981,1.9e-2,0.326,0.335,N/A,N/A
PINN,gPINN,2.0e-1,0.978,0.978,2.8e-2,0.399,0.399,18.8,18.8
PINN,vPINN,2.3e-1,0.985,0.982,7.3e-3,0.162,0.173,25.0,25.0
PINN,RoPINN,4.7e-5,0.056,0.095,1.5e-3,0.063,0.064,93.8,100.0
QRes,Vanilla,2.0e-1,0.979,0.977,9.8e-2,0.523,0.515,N/A,N/A
QRes,gPINN,2.1e-2,0.984,0.984,1.3e-1,0.785,0.781,12.5,12.5
QRes,vPINN,2.2e-2,0.999,1.000,1.0e-1,0.709,0.721,12.5,12.5
QRes,RoPINN,9.0e-6,0.007,0.013,1.7e-2,0.309,0.321,81.3,81.3
FLS,Vanilla,2.0e-1,0.984,0.985,3.6e-3,0.102,0.119,N/A,N/A
FLS,gPINN,2.0e-1,0.978,0.979,9.2e-2,0.500,0.489,12.5,18.8
FLS,vPINN,2.1e-1,1.000,0.994,2.1e-3,0.069,0.069,25.0,18.8
FLS,RoPINN,2.2e-5,0.022,0.039,1.5e-4,0.016,0.017,81.3,87.5
PINNsFormer,Vanilla,3.0e-6,0.015,0.030,1.4e-2,0.270,0.283,N/A,N/A
PINNsFormer,gPINN,1.5e-6,0.009,0.018,OOM,OOM,OOM,0.0,0.0
PINNsFormer,vPINN,1.6e-4,0.065,0.124,4.5e-2,0.411,0.400,0.0,0.0
PINNsFormer,RoPINN,1.0e-6,0.007,0.017,6.5e-3,0.165,0.172,100.0,100.0
KAN,Vanilla,7.3e-5,0.031,0.061,9.2e-2,0.499,0.489,N/A,N/A
KAN,gPINN,2.9e-4,0.030,0.061,2.6e-1,1.131,1.110,31.3,31.3
KAN,vPINN,2.1e-1,0.998,0.996,9.0e-2,0.498,0.487,43.8,43.8
KAN,RoPINN,4.9e-5,0.026,0.051,9.6e-3,0.177,0.191,100.0,93.8
